target_item_name,target_canonical_key,source_name,source_canonical_key,source_type,source_kind,row_kind,raw_rate,base_drop_rate,source_page_type,source_page_name,source_page_url,page_data_url,target_item_id,target_item_image,source_image,iron_depot,manual_fishing,runecube,flags,notes
Strange Ring,strange ring,Lake Minerva,lake minerva,fishing,location,location_item,13352.917612498331,,location,Lake Minerva,https://buddy.farm/l/lake-minerva/,https://buddy.farm/page-data/l/lake-minerva/page-data.json,235,/img/items/onering.png,/img/items/lava.png,,false,false,,Reviewed Path 1 source batch for BL-219
Strange Ring,strange ring,Lake Minerva,lake minerva,fishing,location,location_item,10896.807235480004,,location,Lake Minerva,https://buddy.farm/l/lake-minerva/,https://buddy.farm/page-data/l/lake-minerva/page-data.json,235,/img/items/onering.png,/img/items/lava.png,,false,true,,Reviewed Path 1 source batch for BL-219
Frost Snapper Shell,frost snapper shell,Glacier Lake,glacier lake,fishing,location,location_item,20100.502512562813,,location,Glacier Lake,https://buddy.farm/l/glacier-lake/,https://buddy.farm/page-data/l/glacier-lake/page-data.json,697,/img/items/iceshell.png,/img/items/glacier.png,,false,false,,Reviewed Path 1 source batch for BL-219
Frost Snapper Shell,frost snapper shell,Glacier Lake,glacier lake,fishing,location,location_item,19731.64956590371,,location,Glacier Lake,https://buddy.farm/l/glacier-lake/,https://buddy.farm/page-data/l/glacier-lake/page-data.json,697,/img/items/iceshell.png,/img/items/glacier.png,,false,true,,Reviewed Path 1 source batch for BL-219
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,location_item,268.0325605954611,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Runestone 09,runestone 09,Black Rock Canyon,black rock canyon,explore,location,location_item,5853.886980955354,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,155,/img/items/rs9.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Sandstone,sandstone,Black Rock Canyon,black rock canyon,explore,location,location_item,7.677978615498707,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,202,/img/items/5197.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Giant Centipede,giant centipede,Black Rock Canyon,black rock canyon,explore,location,location_item,375.91158559506806,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,287,/img/items/giantcent.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Orange Gecko,orange gecko,Black Rock Canyon,black rock canyon,explore,location,location_item,8744.061325016759,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,389,/img/items/3493.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Salt Rock,salt rock,Black Rock Canyon,black rock canyon,explore,location,location_item,29.915593153916227,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,304,/img/items/saltrock.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Medium Chest 02,medium chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,22005.428005574708,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,337,/img/items/8574.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Ruby Scorpion,ruby scorpion,Black Rock Canyon,black rock canyon,explore,location,location_item,808.961132114139,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,376,/img/items/4514.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Horn,horn,Black Rock Canyon,black rock canyon,explore,location,location_item,51.6076647703717,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,164,/img/items/6111.PNG,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Runestone 13,runestone 13,Black Rock Canyon,black rock canyon,explore,location,location_item,8395.365758101529,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,223,/img/items/rs13.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Shimmer Quartz,shimmer quartz,Black Rock Canyon,black rock canyon,explore,location,location_item,84.0993145625532,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,102,/img/items/5707.PNG,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Large Chest 02,large chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,16397.92292976223,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,363,/img/items/LC-2.png?1,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Coal,coal,Black Rock Canyon,black rock canyon,explore,location,location_item,7.677089731974372,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,103,/img/items/coal.png,/img/items/canyon.png,false,,false,,Reviewed Path 1 source batch for BL-219
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,location_item,267.94925041197195,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Sandstone,sandstone,Black Rock Canyon,black rock canyon,explore,location,location_item,7.676275299276225,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,202,/img/items/5197.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Giant Centipede,giant centipede,Black Rock Canyon,black rock canyon,explore,location,location_item,376.1297998864088,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,287,/img/items/giantcent.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Orange Gecko,orange gecko,Black Rock Canyon,black rock canyon,explore,location,location_item,8619.698885185611,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,389,/img/items/3493.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Salt Rock,salt rock,Black Rock Canyon,black rock canyon,explore,location,location_item,29.953066540038414,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,304,/img/items/saltrock.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Coal,coal,Black Rock Canyon,black rock canyon,explore,location,location_item,7.676052175661848,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,103,/img/items/coal.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Medium Chest 02,medium chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,21318.931210915292,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,337,/img/items/8574.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Ruby Scorpion,ruby scorpion,Black Rock Canyon,black rock canyon,explore,location,location_item,808.6798301772357,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,376,/img/items/4514.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Runestone 13,runestone 13,Black Rock Canyon,black rock canyon,explore,location,location_item,8446.659346228567,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,223,/img/items/rs13.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Runestone 09,runestone 09,Black Rock Canyon,black rock canyon,explore,location,location_item,5853.544321086418,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,155,/img/items/rs9.png,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Shimmer Quartz,shimmer quartz,Black Rock Canyon,black rock canyon,explore,location,location_item,84.13103577083379,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,102,/img/items/5707.PNG,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Large Chest 02,large chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,15899.093751656155,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,363,/img/items/LC-2.png?1,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Horn,horn,Black Rock Canyon,black rock canyon,explore,location,location_item,51.619821391976664,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,164,/img/items/6111.PNG,/img/items/canyon.png,true,,false,,Reviewed Path 1 source batch for BL-219
Shimmer Quartz,shimmer quartz,Black Rock Canyon,black rock canyon,explore,location,location_item,67.04282159100661,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,102,/img/items/5707.PNG,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Ancient Coin,ancient coin,Black Rock Canyon,black rock canyon,explore,location,location_item,229.27103275136702,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,123,/img/items/6019.PNG,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Runestone 09,runestone 09,Black Rock Canyon,black rock canyon,explore,location,location_item,5005.33902829685,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,155,/img/items/rs9.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Giant Centipede,giant centipede,Black Rock Canyon,black rock canyon,explore,location,location_item,322.0435596118731,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,287,/img/items/giantcent.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Orange Gecko,orange gecko,Black Rock Canyon,black rock canyon,explore,location,location_item,7463.614877472322,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,389,/img/items/3493.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Coal,coal,Black Rock Canyon,black rock canyon,explore,location,location_item,8.426211720141467,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,103,/img/items/coal.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Medium Chest 02,medium chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,18653.236336504382,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,337,/img/items/8574.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Ruby Scorpion,ruby scorpion,Black Rock Canyon,black rock canyon,explore,location,location_item,691.8739405680285,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,376,/img/items/4514.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Horn,horn,Black Rock Canyon,black rock canyon,explore,location,location_item,43.82689428602483,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,164,/img/items/6111.PNG,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Salt Rock,salt rock,Black Rock Canyon,black rock canyon,explore,location,location_item,20.515489981363046,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,304,/img/items/saltrock.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Sandstone,sandstone,Black Rock Canyon,black rock canyon,explore,location,location_item,8.426677276040616,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,202,/img/items/5197.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Runestone 13,runestone 13,Black Rock Canyon,black rock canyon,explore,location,location_item,7251.456334147108,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,223,/img/items/rs13.png,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
Large Chest 02,large chest 02,Black Rock Canyon,black rock canyon,explore,location,location_item,14022.623165373469,0.3333333333333333,location,Black Rock Canyon,https://buddy.farm/l/black-rock-canyon/,https://buddy.farm/page-data/l/black-rock-canyon/page-data.json,363,/img/items/LC-2.png?1,/img/items/canyon.png,false,,true,,Reviewed Path 1 source batch for BL-219
