alias_name,alias_key,canonical_item_name,canonical_key,review_status,source,notes
3 Leaf Clover,3 leaf clover,3-leaf Clover,3-leaf clover,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json
4 Leaf Clover,4 leaf clover,4-leaf Clover,4-leaf clover,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json
Baba Bobble,baba bobble,Baba Bobblehead,baba bobblehead,approved,planning/museum-missing-items-manual-review-2026-05-12.md; data/museum_completion_canon.csv,Reviewed name drift: canon and icon manifest use Baba Bobblehead.
Baba Gec S Cabbage Stew,baba gec s cabbage stew,Baba Gec's Cabbage Stew,baba gec's cabbage stew,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/baba-gec-s-cabbage-stew/; Page data: https://buddy.farm/page-data/i/baba-gec-s-cabbage-stew/page-data.json; Cache: baba-gec-s-cabbage-stew__baba-gec-s-cabbage-stew.json
Baba S Snack Pack,baba s snack pack,Baba's Snack Pack,baba's snack pack,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json
Beatrix S Big Box Of Boom,beatrix s big box of boom,Beatrix's Big Box of Boom,beatrix's big box of boom,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json
Beatrix S Booming Brawl Box 01,beatrix s booming brawl box 01,Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/beatrix-s-booming-brawl-box-01/; Page data: https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json; Cache: beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json
Beatrix S Booming Brawl Box 02,beatrix s booming brawl box 02,Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/beatrix-s-booming-brawl-box-02/; Page data: https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json; Cache: beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json
Boobun S Spray Bottle,boobun s spray bottle,Boobun's Spray Bottle,boobun's spray bottle,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/boobun-s-spray-bottle/; Page data: https://buddy.farm/page-data/i/boobun-s-spray-bottle/page-data.json; Cache: boobun-s-spray-bottle__boobun-s-spray-bottle.json
Borgen S Dancing Belt,borgen s dancing belt,Borgen's Dancing Belt,borgen's dancing belt,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/borgen-s-dancing-belt/; Page data: https://buddy.farm/page-data/i/borgen-s-dancing-belt/page-data.json; Cache: borgen-s-dancing-belt__borgen-s-dancing-belt.json
Buddy S Beach Bag,buddy s beach bag,Buddy's Beach Bag,buddy's beach bag,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/buddy-s-beach-bag/; Page data: https://buddy.farm/page-data/i/buddy-s-beach-bag/page-data.json; Cache: buddy-s-beach-bag__buddy-s-beach-bag.json
Buddy S Beach Ball,buddy s beach ball,Buddy's Beach Ball,buddy's beach ball,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/buddy-s-beach-ball/; Page data: https://buddy.farm/page-data/i/buddy-s-beach-ball/page-data.json; Cache: buddy-s-beach-ball__buddy-s-beach-ball.json
Buddy S Old Pirate Belt,buddy s old pirate belt,Buddy's Old Pirate Belt,buddy's old pirate belt,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/buddy-s-old-pirate-belt/; Page data: https://buddy.farm/page-data/i/buddy-s-old-pirate-belt/page-data.json; Cache: buddy-s-old-pirate-belt__buddy-s-old-pirate-belt.json
Buddy S School Bag,buddy s school bag,Buddy's School Bag,buddy's school bag,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/buddy-s-school-bag/; Page data: https://buddy.farm/page-data/i/buddy-s-school-bag/page-data.json; Cache: buddy-s-school-bag__buddy-s-school-bag.json
Buddy S Sleeping Cap,buddy s sleeping cap,Buddy's Sleeping Cap,buddy's sleeping cap,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/buddy-s-sleeping-cap/; Page data: https://buddy.farm/page-data/i/buddy-s-sleeping-cap/page-data.json; Cache: buddy-s-sleeping-cap__buddy-s-sleeping-cap.json
Cat S Meow,cat s meow,Cat's Meow,cat's meow,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/cat-s-meow/; Page data: https://buddy.farm/page-data/i/cat-s-meow/page-data.json; Cache: cat-s-meow__cat-s-meow.json
Cecil S Shrimp A Plenty,cecil s shrimp a plenty,Cecil's Shrimp-a-Plenty,cecil's shrimp-a-plenty,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/cecil-s-shrimp-a-plenty/; Page data: https://buddy.farm/page-data/i/cecil-s-shrimp-a-plenty/page-data.json; Cache: cecil-s-shrimp-a-plenty__cecil-s-shrimp-a-plenty.json
Cepathorf S Case,cepathorf s case,Cepathorf's Case,cepathorf's case,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/cepathorf-s-case/; Page data: https://buddy.farm/page-data/i/cepathorf-s-case/page-data.json; Cache: cepathorf-s-case__cepathorf-s-case.json
Charles S Neigh,charles s neigh,Charles's Neigh,charles's neigh,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/charles-s-neigh/; Page data: https://buddy.farm/page-data/i/charles-s-neigh/page-data.json; Cache: charles-s-neigh__charles-s-neigh.json
Cid S Stone Ale,cid s stone ale,Cid's Stone Ale,cid's stone ale,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/cid-s-stone-ale/; Page data: https://buddy.farm/page-data/i/cid-s-stone-ale/page-data.json; Cache: cid-s-stone-ale__cid-s-stone-ale.json
Coderanger S Missing Semicolon,coderanger s missing semicolon,Coderanger's Missing Semicolon,coderanger's missing semicolon,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/coderanger-s-missing-semicolon/; Page data: https://buddy.farm/page-data/i/coderanger-s-missing-semicolon/page-data.json; Cache: coderanger-s-missing-semicolon__coderanger-s-missing-semicolon.json
Dewstar S Journal,dewstar s journal,Dewstar's Journal,dewstar's journal,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/dewstar-s-journal/; Page data: https://buddy.farm/page-data/i/dewstar-s-journal/page-data.json; Cache: dewstar-s-journal__dewstar-s-journal.json
Diary Of O Dynn,diary of o dynn,Diary of O'Dynn,diary of o'dynn,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/diary-of-o-dynn/; Page data: https://buddy.farm/page-data/i/diary-of-o-dynn/page-data.json; Cache: diary-of-o-dynn__diary-of-o-dynn.json
Fenrir S Coin,fenrir s coin,Fenrir's Coin,fenrir's coin,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/fenrir-s-coin/; Page data: https://buddy.farm/page-data/i/fenrir-s-coin/page-data.json; Cache: fenrir-s-coin__fenrir-s-coin.json
Firestream S Magic Wire,firestream s magic wire,Firestream's Magic Wire,firestream's magic wire,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/firestream-s-magic-wire/; Page data: https://buddy.farm/page-data/i/firestream-s-magic-wire/page-data.json; Cache: firestream-s-magic-wire__firestream-s-magic-wire.json
Forcepath S Book Of Quest Requirements,forcepath s book of quest requirements,Forcepath's Book of Quest Requirements,forcepath's book of quest requirements,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/forcepath-s-book-of-quest-requirements/; Page data: https://buddy.farm/page-data/i/forcepath-s-book-of-quest-requirements/page-data.json; Cache: forcepath-s-book-of-quest-requirements__forcepath-s-book-of-quest-requirements.json
Frank S Basket,frank s basket,frank's Basket,frank's basket,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/frank-s-basket/; Page data: https://buddy.farm/page-data/i/frank-s-basket/page-data.json; Cache: frank-s-basket__frank-s-basket.json
