item_name,canonical_key,mastery_possible,farmrpg_item_id,buddy_slug,source_datasets,notes
10 Gold,10 gold,unknown,511,10-gold,buddy_item_evidence_cache,
100 Gold,100 gold,unknown,454,100-gold,buddy_item_evidence_cache,
11th Leaf Centerpiece,11th leaf centerpiece,yes,1319,11th-leaf-centerpiece,buddy_item_evidence_cache;mastery_difficulty,
25 Gold,25 gold,unknown,510,25-gold,buddy_item_evidence_cache,
3-leaf Clover,3-leaf clover,unknown,187,3-leaf-clover,buddy_item_evidence_cache;recipe_inputs.input,
3rd Birthday Card,3rd birthday card,unknown,1050,3rd-birthday-card,buddy_item_evidence_cache,
4-leaf Clover,4-leaf clover,unknown,188,4-leaf-clover,buddy_item_evidence_cache;recipe_inputs.input,
4th Birthday Card,4th birthday card,unknown,1234,4th-birthday-card,buddy_item_evidence_cache,
5 Gold,5 gold,unknown,512,5-gold,buddy_item_evidence_cache,
50 Gold,50 gold,unknown,509,50-gold,buddy_item_evidence_cache,
5th Birthday Card,5th birthday card,unknown,1498,5th-birthday-card,buddy_item_evidence_cache,
Acorn,acorn,unknown,91,acorn,buddy_item_evidence_cache;recipe_inputs.input,
Acorn Butter,acorn butter,yes,787,acorn-butter,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Acorn Pie,acorn pie,yes,1304,acorn-pie,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Adventure Buddy Doll,adventure buddy doll,unknown,1152,adventure-buddy-doll,buddy_item_evidence_cache,
Alien Fuzzy Chick,alien fuzzy chick,unknown,1479,alien-fuzzy-chick,buddy_item_evidence_cache,
Amber,amber,unknown,244,amber,buddy_item_evidence_cache;recipe_inputs.input,
Amber Cane,amber cane,yes,800,amber-cane,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Amber Mire Bloom,amber mire bloom,unknown,1354,amber-mire-bloom,buddy_item_evidence_cache;recipe_inputs.input,
Amethyst,amethyst,unknown,54,amethyst,buddy_item_evidence_cache;recipe_inputs.input,
Amethyst Necklace,amethyst necklace,yes,126,amethyst-necklace,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Anchor,anchor,unknown,794,anchor,buddy_item_evidence_cache,
Ancient Coin,ancient coin,unknown,123,ancient-coin,buddy_item_evidence_cache,
Ancient Stone Cicada,ancient stone cicada,unknown,1255,ancient-stone-cicada,buddy_item_evidence_cache,
Ancient Treasure Belt,ancient treasure belt,unknown,1231,ancient-treasure-belt,buddy_item_evidence_cache,
Anglerfish,anglerfish,no,569,anglerfish,buddy_item_evidence_cache;user_mastery_eligibility_review_2026_08_08,User confirmed not masterable in the BL-326 eligibility review.
Ant Apple,ant apple,yes,1278,ant-apple,buddy_item_evidence_cache;mastery_difficulty,
Antler,antler,unknown,170,antler,buddy_item_evidence_cache;recipe_inputs.input,
Apple,apple,unknown,44,apple,buddy_item_evidence_cache;recipe_inputs.input,
Apple Ant,apple ant,yes,1279,apple-ant,buddy_item_evidence_cache;mastery_difficulty,
Apple Ant Buddy Doll,apple ant buddy doll,unknown,1286,apple-ant-buddy-doll,buddy_item_evidence_cache,
Apple Basket,apple basket,unknown,829,apple-basket,buddy_item_evidence_cache,
Apple Belt,apple belt,unknown,1287,apple-belt,buddy_item_evidence_cache,
Apple Buddy Doll,apple buddy doll,unknown,1283,apple-buddy-doll,buddy_item_evidence_cache,
Apple Cider,apple cider,yes,379,apple-cider,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Apple Core,apple core,unknown,805,apple-core,buddy_item_evidence_cache,
Apple Crate 01,apple crate 01,unknown,1109,apple-crate-01,buddy_item_evidence_cache,
Apple Crate 02,apple crate 02,unknown,1280,apple-crate-02,buddy_item_evidence_cache,
Apple Picker,apple picker,unknown,1281,apple-picker,buddy_item_evidence_cache,
Apple Pie,apple pie,unknown,830,apple-pie,buddy_item_evidence_cache,
Apple Slice,apple slice,unknown,1282,apple-slice,buddy_item_evidence_cache,
Apple Slicer,apple slicer,unknown,1110,apple-slicer,buddy_item_evidence_cache,
Apple Turnover,apple turnover,unknown,1107,apple-turnover,buddy_item_evidence_cache,
Aquacite,aquacite,yes,901,aquacite,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Aquamarine,aquamarine,unknown,41,aquamarine,buddy_item_evidence_cache;recipe_inputs.input,
Aquamarine Ring,aquamarine ring,yes,125,aquamarine-ring,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Arnold Palmer,arnold palmer,yes,508,arnold-palmer,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Arrowhead,arrowhead,unknown,108,arrowhead,buddy_item_evidence_cache;recipe_inputs.input,
Ashes of Pentagorn,ashes of pentagorn,unknown,625,ashes-of-pentagorn,buddy_item_evidence_cache,
Asteroid Egg,asteroid egg,unknown,1471,asteroid-egg,buddy_item_evidence_cache,
Astro Fuzzy Chick,astro fuzzy chick,unknown,1478,astro-fuzzy-chick,buddy_item_evidence_cache,
Awl,awl,yes,844,awl,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Axe,axe,yes,237,axe,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
B for Buddies,b for buddies,unknown,1046,b-for-buddies,buddy_item_evidence_cache,
Baba Bobblehead,baba bobblehead,unknown,1153,baba-bobblehead,buddy_item_evidence_cache,
Baba Cola,baba cola,unknown,1103,baba-cola,buddy_item_evidence_cache,
Baba Gec's Cabbage Stew,baba gec's cabbage stew,unknown,780,baba-gec-s-cabbage-stew,buddy_item_evidence_cache;recipes.recipe_book,
Baba's Snack Pack,baba's snack pack,unknown,1104,baba-s-snack-pack,buddy_item_evidence_cache,
Backpack,backpack,unknown,610,backpack,buddy_item_evidence_cache,
Backstabbing Dagger,backstabbing dagger,unknown,381,backstabbing-dagger,buddy_item_evidence_cache,
Bacon,bacon,unknown,242,bacon,buddy_item_evidence_cache;recipe_inputs.input,
Bag of Ghost Candy,bag of ghost candy,unknown,1314,bag-of-ghost-candy,buddy_item_evidence_cache,
Bag of Presents 01,bag of presents 01,unknown,422,bag-of-presents-01,buddy_item_evidence_cache,
Bag of Presents 02,bag of presents 02,unknown,698,bag-of-presents-02,buddy_item_evidence_cache,
Bag of Snowballs,bag of snowballs,unknown,940,bag-of-snowballs,buddy_item_evidence_cache,
Bag of Spring Seeds,bag of spring seeds,unknown,772,bag-of-spring-seeds,buddy_item_evidence_cache,
Bahltruvian Scales,bahltruvian scales,unknown,514,bahltruvian-scales,buddy_item_evidence_cache,
Bait Bag 01,bait bag 01,unknown,1230,bait-bag-01,buddy_item_evidence_cache,
Bamboo,bamboo,unknown,1379,bamboo,buddy_item_evidence_cache;recipe_inputs.input,
Bamboo Chair,bamboo chair,yes,1423,bamboo-chair,buddy_item_evidence_cache;recipes.output;tower_requirements,
Bamboo Fence,bamboo fence,yes,1421,bamboo-fence,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Bamboo Flute,bamboo flute,yes,1435,bamboo-flute,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Bamboo Rope,bamboo rope,yes,1433,bamboo-rope,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Bamboo Trellis,bamboo trellis,yes,1422,bamboo-trellis,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Banana Peel,banana peel,unknown,1205,banana-peel,buddy_item_evidence_cache,
Bananas,bananas,unknown,714,bananas,buddy_item_evidence_cache,
