category_name,category_key,item_name,canonical_key,slot_count,review_status,source,notes
Items,items,Apple Basket,apple basket,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Baba Bobblehead,baba bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,Reviewed identity correction from museum canon and icon manifest.
Items,items,Banana Peel,banana peel,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Beach Towel,beach towel,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Beatrix Bobblehead,beatrix bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Borgen Bobblehead,borgen bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Brooch of the Bahltruvian Elite,brooch of the bahltruvian elite,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,Flex spending
Items,items,Buddy Bobblehead,buddy bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Buddy's School Bag,buddy's school bag,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Cecil Bobblehead,cecil bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Certificates of Farm Giving,certificates of farm giving,8,reviewed_group,planning/museum-missing-items-manual-review-2026-05-12.md,Grouped reviewed row from Rebecca's manual list; preserve as a group until individual certificate identities are confirmed.
Items,items,Charles Bobblehead,charles bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Cid Bobblehead,cid bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Corn Bread,corn bread,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Cornucopia 01,cornucopia 01,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Cpt Thomas Bobblehead,cpt thomas bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Duck Egg,duck egg,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Duck Feather,duck feather,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Egg of Duck,egg of duck,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Fall Basket,fall basket,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Fancy Pillow,fancy pillow,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Farmaversary Trophies 2-6,farmaversary trophies 2-6,5,reviewed_group,planning/museum-missing-items-manual-review-2026-05-12.md,Grouped reviewed row from Rebecca's manual list; preserve as a group until individual trophy identities are confirmed.
Items,items,Frank Bobblehead,frank bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Fungus Processing and You,fungus processing and you,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,DI
Items,items,Gainite,gainite,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,DI
Items,items,Gary's Diary Page 12,gary's diary page 12,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,DI?
Items,items,Gary's Diary Page 86,gary's diary page 86,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,DI
Items,items,Geist Bobblehead,geist bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Goostav Bobblehead,goostav bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Harpoon,harpoon,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Holger Bobblehead,holger bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Magic Lamp,magic lamp,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available-ish
Items,items,Mariya Bobblehead,mariya bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Mechanical Heart,mechanical heart,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,Tower 300
Items,items,Mummy Bobblehead,mummy bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Orange Butterfly,orange butterfly,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Painite,painite,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,DI
Items,items,Pearl Berry Jam,pearl berry jam,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,T300 quest in November
Items,items,Peculiar Gem,peculiar gem,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,not yet available
Items,items,Raptor Chicken Egg,raptor chicken egg,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Ric Ryph Bobblehead,ric ryph bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Rosalie Bobblehead,rosalie bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Santa Bobblehead,santa bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,Christmas quest
Items,items,Thomas Bobblehead,thomas bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
Items,items,Vincent Bobblehead,vincent bobblehead,1,reviewed,planning/museum-missing-items-manual-review-2026-05-12.md,
