openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_kind,evidence,notes
Apple Basket,apple basket,Apple,apple,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Apple Cider,apple cider,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Apple Core,apple core,2,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Apple Pie,apple pie,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Raffle Ticket,raffle ticket,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple,apple,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Cider,apple cider,25,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Core,apple core,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Pie,apple pie,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Slicer,apple slicer,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Turnover,apple turnover,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Raffle Ticket,raffle ticket,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-01/; Page data: https://buddy.farm/page-data/i/apple-crate-01/page-data.json; Cache: apple-crate-01__apple-crate-01.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple,apple,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Ant,apple ant,5,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Cider,apple cider,50,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Core,apple core,5,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Picker,apple picker,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Pie,apple pie,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Slicer,apple slicer,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
