quest_key,quest_name,questline_key,questline_name,questline_aliases,stage_label,npc,farming_level,fishing_level,crafting_level,exploring_level,tower_level,previous_quest_key,next_quest_keys,source_url,coverage_status,notes
"1,000,000 farmers i","1,000,000 Farmers I","1,000,000 farmers","1,000,000 Farmers",,I,,,,,,,,"1,000,000 farmers ii",https://buddy.farm/q/1-000-000-farmers-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551513; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ii","1,000,000 Farmers II","1,000,000 farmers","1,000,000 Farmers",,II,,,,,,,"1,000,000 farmers i","1,000,000 farmers iii",https://buddy.farm/q/1-000-000-farmers-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551514; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iii","1,000,000 Farmers III","1,000,000 farmers","1,000,000 Farmers",,III,,,,,,,"1,000,000 farmers ii","1,000,000 farmers iv",https://buddy.farm/q/1-000-000-farmers-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551515; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iv","1,000,000 Farmers IV","1,000,000 farmers","1,000,000 Farmers",,IV,,,,,,,"1,000,000 farmers iii","1,000,000 farmers v",https://buddy.farm/q/1-000-000-farmers-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551516; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v","1,000,000 Farmers V","1,000,000 farmers","1,000,000 Farmers",,V,,,,,,,"1,000,000 farmers iv","1,000,000 farmers vi",https://buddy.farm/q/1-000-000-farmers-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551517; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi","1,000,000 Farmers VI","1,000,000 farmers","1,000,000 Farmers",,VI,,,,,,,"1,000,000 farmers v","1,000,000 farmers vii",https://buddy.farm/q/1-000-000-farmers-vi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551518; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii","1,000,000 Farmers VII","1,000,000 farmers","1,000,000 Farmers",,VII,,,,,,,"1,000,000 farmers vi","1,000,000 farmers viii",https://buddy.farm/q/1-000-000-farmers-vii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551519; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii","1,000,000 Farmers VIII","1,000,000 farmers","1,000,000 Farmers",,VIII,,,,,,,"1,000,000 farmers vii","1,000,000 farmers ix",https://buddy.farm/q/1-000-000-farmers-viii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551520; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix","1,000,000 Farmers IX","1,000,000 farmers","1,000,000 Farmers",,IX,,,,,,,"1,000,000 farmers viii",,https://buddy.farm/q/1-000-000-farmers-ix/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7551521; Quest image: /img/items/a_098.png; Quest end date: 2025-12-06T05:59:59+00:00
"10,000 players!","10,000 Players!","10,000 players!","10,000 Players!",,,,,,,,,,,https://buddy.farm/q/10-000-players/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 52; Quest image: /img/items/a_098.png; Quest end date: 2021-06-22T04:59:59+00:00
