item_name,canonical_key,source_name,source_canonical_key,source_type,preferred_unit,source_url,notes
3-leaf Clover,3-leaf clover,Christmas Present 04,christmas present 04,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 40-40; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
3-leaf Clover,3-leaf clover,Grab Bag 01,grab bag 01,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-50; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
3-leaf Clover,3-leaf clover,Green Backpack,green backpack,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
3-leaf Clover,3-leaf clover,Spring Basket 01,spring basket 01,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
3-leaf Clover,3-leaf clover,Spring Basket 02,spring basket 02,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
3-leaf Clover,3-leaf clover,Spring Basket 03,spring basket 03,openable,openable,https://buddy.farm/i/3-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/3-leaf-clover/; Page data: https://buddy.farm/page-data/i/3-leaf-clover/page-data.json; Cache: 3-leaf-clover__3-leaf-clover.json; Parser: buddy-item-multi-source-v1
4-leaf Clover,4-leaf clover,Green Backpack,green backpack,openable,openable,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
4-leaf Clover,4-leaf clover,Spring Basket 01,spring basket 01,openable,openable,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 3-3; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
4-leaf Clover,4-leaf clover,Spring Basket 02,spring basket 02,openable,openable,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
4-leaf Clover,4-leaf clover,Spring Basket 03,spring basket 03,openable,openable,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
