output_canonical_key,output_item_name,input_order,input_item_name,input_canonical_key,quantity
acorn butter,Acorn Butter,1,Acorn,acorn,75
acorn butter,Acorn Butter,2,Glass Bottle,glass bottle,1
acorn pie,Acorn Pie,1,Coal,coal,1500
acorn pie,Acorn Pie,2,Acorn,acorn,400
acorn pie,Acorn Pie,3,Butter,butter,25
acorn pie,Acorn Pie,4,Flour,flour,25
acorn pie,Acorn Pie,5,Salt,salt,10
acorn pie,Acorn Pie,6,Molasses,molasses,7
acorn pie,Acorn Pie,7,Brown Sugar,brown sugar,5
acorn pie,Acorn Pie,8,Pie Pan,pie pan,1
amber cane,Amber Cane,1,Bone,bone,1
amber cane,Amber Cane,2,Iron Ring,iron ring,2
amber cane,Amber Cane,3,Mushroom Paste,mushroom paste,1
amber cane,Amber Cane,4,Oak,oak,1
amber cane,Amber Cane,5,Sand,sand,3
amber cane,Amber Cane,6,Amber,amber,1
amethyst necklace,Amethyst Necklace,1,Iron Ring,iron ring,2
amethyst necklace,Amethyst Necklace,2,Amethyst,amethyst,1
apple cider,Apple Cider,1,Apple,apple,40
apple cider,Apple Cider,2,Glass Bottle,glass bottle,1
apple cider,Apple Cider,3,Orange,orange,1
aquacite,Aquacite,1,Unpolished Aquacite,unpolished aquacite,2
aquamarine ring,Aquamarine Ring,1,Aquamarine,aquamarine,1
aquamarine ring,Aquamarine Ring,2,Mushroom Paste,mushroom paste,1
aquamarine ring,Aquamarine Ring,3,Iron Ring,iron ring,1
arnold palmer,Arnold Palmer,1,Lemonade,lemonade,20
arnold palmer,Arnold Palmer,2,Iced Tea,iced tea,1
awl,Awl,1,Iron,iron,1
awl,Awl,2,Wood,wood,1
awl,Awl,3,Iron Ring,iron ring,2
axe,Axe,1,Iron,iron,1
axe,Axe,2,Nails,nails,2
axe,Axe,3,Board,board,1
axe,Axe,4,Stone,stone,1
axe,Axe,5,Mushroom Paste,mushroom paste,1
bamboo chair,Bamboo Chair,1,Twine,twine,15
bamboo chair,Bamboo Chair,2,Bamboo,bamboo,30
bamboo chair,Bamboo Chair,3,Basic Pillow,basic pillow,1
bamboo fence,Bamboo Fence,1,Board,board,10
bamboo fence,Bamboo Fence,2,Twine,twine,10
bamboo fence,Bamboo Fence,3,Bamboo,bamboo,35
bamboo flute,Bamboo Flute,1,Steel Wire,steel wire,1
bamboo flute,Bamboo Flute,2,Awl,awl,1
bamboo flute,Bamboo Flute,3,Bamboo,bamboo,2
bamboo rope,Bamboo Rope,1,Bamboo,bamboo,4
bamboo trellis,Bamboo Trellis,1,Twine,twine,10
bamboo trellis,Bamboo Trellis,2,Bamboo,bamboo,20
barbed wire,Barbed Wire,1,Thorns,thorns,5
barbed wire,Barbed Wire,2,Steel Wire,steel wire,1
basic pillow,Basic Pillow,1,Feathers,feathers,25
basic pillow,Basic Pillow,2,Twine,twine,2
basic pillow,Basic Pillow,3,Cloth,cloth,2
belt drive,Belt Drive,1,Purple Dye,purple dye,1
belt drive,Belt Drive,2,Rope,rope,1
