output_item_name,output_canonical_key,recipe_type,recipe_book_item_name,recipe_book_canonical_key,cooking_level,base_time,source_buddy_url,source_page_data_url,cache_file_name,parser_version,notes
Acorn Butter,acorn butter,craft,,,,,https://buddy.farm/i/acorn-butter/,https://buddy.farm/page-data/i/acorn-butter/page-data.json,acorn-butter__acorn-butter.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/acorn-butter/page-data.json; Cache: acorn-butter__acorn-butter.json; Parser: buddy-item-multi-source-v1
Acorn Pie,acorn pie,cooking,George's Acorn Pie,george's acorn pie,50,24h,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/acorn-pie/page-data.json; Cache: acorn-pie__acorn-pie.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Amber Cane,amber cane,craft,,,,,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/amber-cane/page-data.json; Cache: amber-cane__amber-cane.json; Parser: buddy-item-multi-source-v1
Amethyst Necklace,amethyst necklace,craft,,,,,https://buddy.farm/i/amethyst-necklace/,https://buddy.farm/page-data/i/amethyst-necklace/page-data.json,amethyst-necklace__amethyst-necklace.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/amethyst-necklace/page-data.json; Cache: amethyst-necklace__amethyst-necklace.json; Parser: buddy-item-multi-source-v1
Apple Cider,apple cider,craft,,,,,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/apple-cider/page-data.json; Cache: apple-cider__apple-cider.json; Parser: buddy-item-multi-source-v1
Aquacite,aquacite,craft,,,,,https://buddy.farm/i/aquacite/,https://buddy.farm/page-data/i/aquacite/page-data.json,aquacite__aquacite.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/aquacite/page-data.json; Cache: aquacite__aquacite.json; Parser: buddy-item-multi-source-v1
Aquamarine Ring,aquamarine ring,craft,,,,,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/aquamarine-ring/page-data.json; Cache: aquamarine-ring__aquamarine-ring.json; Parser: buddy-item-multi-source-v1
Arnold Palmer,arnold palmer,craft,,,,,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/arnold-palmer/page-data.json; Cache: arnold-palmer__arnold-palmer.json; Parser: buddy-item-multi-source-v1
Awl,awl,craft,,,,,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,awl__awl.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/awl/page-data.json; Cache: awl__awl.json; Parser: buddy-item-multi-source-v1
Axe,axe,craft,,,,,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/axe/page-data.json; Cache: axe__axe.json; Parser: buddy-item-multi-source-v1
Bamboo Chair,bamboo chair,craft,,,,,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,bamboo-chair__bamboo-chair.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bamboo-chair/page-data.json; Cache: bamboo-chair__bamboo-chair.json; Parser: buddy-item-multi-source-v1
Bamboo Fence,bamboo fence,craft,,,,,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,bamboo-fence__bamboo-fence.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bamboo-fence/page-data.json; Cache: bamboo-fence__bamboo-fence.json; Parser: buddy-item-multi-source-v1
Bamboo Flute,bamboo flute,craft,,,,,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,bamboo-flute__bamboo-flute.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bamboo-flute/page-data.json; Cache: bamboo-flute__bamboo-flute.json; Parser: buddy-item-multi-source-v1
Bamboo Rope,bamboo rope,craft,,,,,https://buddy.farm/i/bamboo-rope/,https://buddy.farm/page-data/i/bamboo-rope/page-data.json,bamboo-rope__bamboo-rope.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bamboo-rope/page-data.json; Cache: bamboo-rope__bamboo-rope.json; Parser: buddy-item-multi-source-v1
Bamboo Trellis,bamboo trellis,craft,,,,,https://buddy.farm/i/bamboo-trellis/,https://buddy.farm/page-data/i/bamboo-trellis/page-data.json,bamboo-trellis__bamboo-trellis.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bamboo-trellis/page-data.json; Cache: bamboo-trellis__bamboo-trellis.json; Parser: buddy-item-multi-source-v1
Barbed Wire,barbed wire,craft,,,,,https://buddy.farm/i/barbed-wire/,https://buddy.farm/page-data/i/barbed-wire/page-data.json,barbed-wire__barbed-wire.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/barbed-wire/page-data.json; Cache: barbed-wire__barbed-wire.json; Parser: buddy-item-multi-source-v1
Basic Pillow,basic pillow,craft,,,,,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,basic-pillow__basic-pillow.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/basic-pillow/page-data.json; Cache: basic-pillow__basic-pillow.json; Parser: buddy-item-multi-source-v1
