tower_level,tower_level_range,slot_index,item_name,farmrpg_item_id,mastery_level_needed,buddy_slug,notes,source_sheet,source_row
201,201-210,1,Board,,MM,,Auto-craft,Tower MMs,15
202,201-210,1,Twine,,MM,,Auto-craft,Tower MMs,16
203,201-210,1,Iron Ring,,MM,,Auto-craft,Tower MMs,17
204,201-210,1,SkipJack,,MM,,Fish,Tower MMs,18
205,201-210,1,Purple Butterfly Fish,,MM,,Fish,Tower MMs,19
206,201-210,1,Rope,,MM,,Auto-craft,Tower MMs,20
207,201-210,1,Crab,,MM,,Fish,Tower MMs,21
208,201-210,1,Mushroom,,MM,,Crop/Explore,Tower MMs,22
209,201-210,1,Clam Shell,,MM,,Fish,Tower MMs,23
210,201-210,1,Conch Shell,,MM,,Fish,Tower MMs,24
211,211-220,1,Fishing Net,,MM,,Daily,Tower MMs,25
212,211-220,1,Sand,,MM,,Explore,Tower MMs,26
213,211-220,1,Frosteye,,MM,,Fish,Tower MMs,27
214,211-220,1,Crowfish,,MM,,Fish,Tower MMs,28
215,211-220,1,Torch Fish,,MM,,Fish,Tower MMs,29
216,211-220,1,Mackerel,,MM,,Fish,Tower MMs,30
217,211-220,1,Green Barracuda,,MM,,Fish,Tower MMs,31
218,211-220,1,Bullfish,,MM,,Fish,Tower MMs,32
219,211-220,1,Drum,,MM,,Fish,Tower MMs,33
220,211-220,1,Mushroom Paste,,MM,,Crop/Explore,Tower MMs,34
221,221-230,1,Starfish,,MM,,Fish,Tower MMs,35
221,221-230,2,Green Jellyfish,,MM,,Fish,Tower MMs,36
222,221-230,1,Swordfish,,MM,,Fish,Tower MMs,37
222,221-230,2,Steel Wire,,MM,,Auto-craft,Tower MMs,38
223,221-230,1,Bone Fish,,MM,,Fish,Tower MMs,39
223,221-230,2,Sunfish,,MM,,Fish,Tower MMs,40
224,221-230,1,Flamejack,,MM,,Fish,Tower MMs,41
224,221-230,2,Blue Sea Bass,,MM,,Fish,Tower MMs,42
225,221-230,1,Barracuda,,MM,,Fish,Tower MMs,43
225,221-230,2,Clownfish,,MM,,Fish,Tower MMs,44
226,221-230,1,Red Starfish,,MM,,Fish,Tower MMs,45
226,221-230,2,Stingray,,MM,,Fish,Tower MMs,46
227,221-230,1,Shimmer Stone,,MM,,Explore,Tower MMs,47
227,221-230,2,Iron Cup,,MM,,Auto-craft,Tower MMs,48
228,221-230,1,Green Chromis,,MM,,Fish,Tower MMs,49
228,221-230,2,Pearl,,MM,,Fish,Tower MMs,50
229,221-230,1,Blue Crab,,MM,,Fish,Tower MMs,51
229,221-230,2,Sea Catfish,,MM,,Fish,Tower MMs,52
230,221-230,1,Plumbfish,,MM,,Fish,Tower MMs,53
230,221-230,2,Bluegill,,MM,,Fish,Tower MMs,54
231,231-240,1,Leather,,MM,,Explore,Tower MMs,55
231,231-240,2,Jellyfish,,MM,,Fish,Tower MMs,56
232,231-240,1,Blue Tiger Fish,,MM,,Fish,Tower MMs,57
232,231-240,2,Spiral Shell,,MM,,Fish,Tower MMs,58
233,231-240,1,Horseshoe,,MM,,Auto-craft,Tower MMs,59
233,231-240,2,Serpent Eel,,MM,,Fish,Tower MMs,60
234,231-240,1,Crappie,,MM,,Fish,Tower MMs,61
234,231-240,2,Ruby Coral,,MM,,Fish,Tower MMs,62
235,231-240,1,Blue Shell,,MM,,Fish,Tower MMs,63
235,231-240,2,White Parchment,,MM,,Explore,Tower MMs,64
236,231-240,1,Redgill,,MM,,Fish,Tower MMs,65
236,231-240,2,Yarn,,MM,,Explore,Tower MMs,66
237,231-240,1,Puffer,,MM,,Fish,Tower MMs,67
237,231-240,2,Seahorse,,MM,,Fish,Tower MMs,68
238,231-240,1,Emerald,,MM,,Explore,Tower MMs,69
238,231-240,2,Fluorifish,,MM,,Fish,Tower MMs,70
239,231-240,1,Sturdy Shield,,MM,,Auto-craft,Tower MMs,71
239,231-240,2,Orange Juice,,MM,,Daily,Tower MMs,72
240,231-240,1,Marlin,,MM,,Fish,Tower MMs,73
240,231-240,2,Ruby Fish,,MM,,Fish,Tower MMs,74
241,241-250,1,Nailed Board,,MM,,Auto-craft,Tower MMs,75
