sort_order,raw_item_label,item_name,canonical_key,known_item_status,gold_raw,gold_status,gold_min,gold_max,gold_currency,gold_quantity_basis,ap_raw,ap_status,ap_min,ap_max,ap_currency,ap_quantity_basis,oj_raw,oj_status,oj_min,oj_max,oj_currency,oj_quantity_basis,source_name,source_url,captured_date,parser_version,notes
1,3-leaf Clover,3-leaf Clover,3-leaf clover,known,×,not_listed,,,,,4-6 AP/k,priced,4,6,ap,per_1000,30-45 OJ/k,priced,30,45,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
2,3rd Birthday Card,3rd Birthday Card,3rd birthday card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
3,4th Birthday Card,4th Birthday Card,4th birthday card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
4,5th Birthday Card,5th Birthday Card,5th birthday card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
5,Acorn,Acorn,acorn,known,×,not_listed,,,,,6-9 AP/k,priced,6,9,ap,per_1000,45-70 OJ/k,priced,45,70,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
6,Acorn Pie (meal),Acorn Pie,acorn pie,known,×,not_listed,,,,,5-12 AP,priced,5,12,ap,each,40-95 OJ,priced,40,95,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
7,Apple,Apple,apple,known,1-1.5g/k,priced,1,1.5,gold,per_1000,15-20 AP/k,priced,15,20,ap,per_1000,115-155 OJ/k,priced,115,155,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
8,Apple Basket,Apple Basket,apple basket,known,240-260g,priced,240,260,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
9,Apple Cider,Apple Cider,apple cider,known,20-25g/k,priced,20,25,gold,per_1000,310-385 AP/k,priced,310,385,ap,per_1000,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
10,Apple Crate 01,Apple Crate 01,apple crate 01,known,225-275g,priced,225,275,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
11,Apple Crate 02,Apple Crate 02,apple crate 02,known,250-300g,priced,250,300,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
12,Apple Pie,Apple Pie,apple pie,known,210-230g,priced,210,230,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
13,Aquamarine,Aquamarine,aquamarine,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
