thrown_item_name,thrown_canonical_key,reward_item_name,reward_canonical_key,reward_chance,reward_quantity,evidence,notes
4-leaf Clover,4-leaf clover,MIAB,miab,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json
4-leaf Clover,4-leaf clover,Small Flute,small flute,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json
4-leaf Clover,4-leaf clover,Wooden Mask,wooden mask,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json
Ancient Coin,ancient coin,Captains Log,captains log,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Cogwheel,cogwheel,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Eye Patch,eye patch,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Freaky Picture,freaky picture,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Giant Centipede,giant centipede,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Octopus,octopus,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Orange Gecko,orange gecko,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Shiny Beetle,shiny beetle,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Small Gear,small gear,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Small Screw,small screw,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Snail,snail,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Ancient Coin,ancient coin,Wax Candle,wax candle,0.08333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json
Antler,antler,Arrowhead,arrowhead,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json
Antler,antler,Bird Egg,bird egg,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json
Antler,antler,Pine Cone,pine cone,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json
Apple Cider,apple cider,Iced Tea,iced tea,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/apple-cider/; Page data: https://buddy.farm/page-data/i/apple-cider/page-data.json; Cache: apple-cider__apple-cider.json
Apple Cider,apple cider,Lemonade,lemonade,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/apple-cider/; Page data: https://buddy.farm/page-data/i/apple-cider/page-data.json; Cache: apple-cider__apple-cider.json
Apple Cider,apple cider,Orange Juice,orange juice,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/apple-cider/; Page data: https://buddy.farm/page-data/i/apple-cider/page-data.json; Cache: apple-cider__apple-cider.json
Aquamarine,aquamarine,Amethyst,amethyst,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/aquamarine/; Page data: https://buddy.farm/page-data/i/aquamarine/page-data.json; Cache: aquamarine__aquamarine.json
Aquamarine,aquamarine,Emerald,emerald,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/aquamarine/; Page data: https://buddy.farm/page-data/i/aquamarine/page-data.json; Cache: aquamarine__aquamarine.json
Aquamarine,aquamarine,Lemon Quartz,lemon quartz,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/aquamarine/; Page data: https://buddy.farm/page-data/i/aquamarine/page-data.json; Cache: aquamarine__aquamarine.json
Aquamarine,aquamarine,Ruby,ruby,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/aquamarine/; Page data: https://buddy.farm/page-data/i/aquamarine/page-data.json; Cache: aquamarine__aquamarine.json
Bacon,bacon,Gold Feather,gold feather,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/bacon/; Page data: https://buddy.farm/page-data/i/bacon/page-data.json; Cache: bacon__bacon.json
Bacon,bacon,Gold Leaf,gold leaf,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/bacon/; Page data: https://buddy.farm/page-data/i/bacon/page-data.json; Cache: bacon__bacon.json
Bacon,bacon,Magicite,magicite,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/bacon/; Page data: https://buddy.farm/page-data/i/bacon/page-data.json; Cache: bacon__bacon.json
Belt Drive,belt drive,Energy Coil,energy coil,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/belt-drive/; Page data: https://buddy.farm/page-data/i/belt-drive/page-data.json; Cache: belt-drive__belt-drive.json
Belt Drive,belt drive,Metal Spool,metal spool,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/belt-drive/; Page data: https://buddy.farm/page-data/i/belt-drive/page-data.json; Cache: belt-drive__belt-drive.json
Belt Drive,belt drive,Spool of Copper,spool of copper,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/belt-drive/; Page data: https://buddy.farm/page-data/i/belt-drive/page-data.json; Cache: belt-drive__belt-drive.json
Block of Wood,block of wood,Carved Bear,carved bear,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Camel,carved camel,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Chicken,carved chicken,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Cow,carved cow,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Dragon,carved dragon,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Fox,carved fox,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Kitty,carved kitty,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Moose,carved moose,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Mouse,carved mouse,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Owl,carved owl,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Pig,carved pig,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Rabbit,carved rabbit,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Rhino,carved rhino,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Squirrel,carved squirrel,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Squisquatch,carved squisquatch,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Block of Wood,block of wood,Carved Warthog,carved warthog,0.0625,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/block-of-wood/; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json
Candy,candy,Apple,apple,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy/; Page data: https://buddy.farm/page-data/i/candy/page-data.json; Cache: candy__candy.json
Candy,candy,Lollipop,lollipop,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy/; Page data: https://buddy.farm/page-data/i/candy/page-data.json; Cache: candy__candy.json
Candy,candy,Spider,spider,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy/; Page data: https://buddy.farm/page-data/i/candy/page-data.json; Cache: candy__candy.json
Candy,candy,Taffy,taffy,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy/; Page data: https://buddy.farm/page-data/i/candy/page-data.json; Cache: candy__candy.json
Candy Corn,candy corn,Egyptian Necklace,egyptian necklace,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy-corn/; Page data: https://buddy.farm/page-data/i/candy-corn/page-data.json; Cache: candy-corn__candy-corn.json
Candy Corn,candy corn,R.O.A.S.,r.o.a.s.,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy-corn/; Page data: https://buddy.farm/page-data/i/candy-corn/page-data.json; Cache: candy-corn__candy-corn.json
Candy Corn,candy corn,Taffy,taffy,0.3333333333333333,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/candy-corn/; Page data: https://buddy.farm/page-data/i/candy-corn/page-data.json; Cache: candy-corn__candy-corn.json
Captains Log,captains log,Eye Patch,eye patch,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/captains-log/; Page data: https://buddy.farm/page-data/i/captains-log/page-data.json; Cache: captains-log__captains-log.json
Captains Log,captains log,Moonstone,moonstone,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/captains-log/; Page data: https://buddy.farm/page-data/i/captains-log/page-data.json; Cache: captains-log__captains-log.json
Captains Log,captains log,Pirate Flag,pirate flag,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/captains-log/; Page data: https://buddy.farm/page-data/i/captains-log/page-data.json; Cache: captains-log__captains-log.json
Captains Log,captains log,Strange Letter,strange letter,0.25,1,cached_buddy_page_data,Promoted from complete cached Buddy page-data fan-out for BL-251.; Reward quantity defaults to 1 because Buddy page-data exposes chance but not quantity.; Source: https://buddy.farm/i/captains-log/; Page data: https://buddy.farm/page-data/i/captains-log/page-data.json; Cache: captains-log__captains-log.json
