item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,page_title,manifest_status,cache_status,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,cache_filename,local_relative_path,shared_asset_item_count,shared_asset_reuse,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,10 Gold,ready,existing,https://farmrpg.com/img/items/10gold.png,/img/items/10gold.png,10gold.png,10gold,,10gold-bd63bf199aa1.png,generated/item-icons/10gold-bd63bf199aa1.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,100 Gold,ready,existing,https://farmrpg.com/img/items/goldpouch2.png,/img/items/goldpouch2.png,goldpouch2.png,goldpouch2,,goldpouch2-36d0283617a3.png,generated/item-icons/goldpouch2-36d0283617a3.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,ready,existing,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,centerpiece,,centerpiece-54b122c6b71c.png,generated/item-icons/centerpiece-54b122c6b71c.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,25 Gold,ready,existing,https://farmrpg.com/img/items/25gold.png,/img/items/25gold.png,25gold.png,25gold,,25gold-f87eac23dfb8.png,generated/item-icons/25gold-f87eac23dfb8.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3-leaf Clover,3 leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,ready,existing,https://farmrpg.com/img/items/8250.PNG,/img/items/8250.PNG,8250.PNG,8250,8250,8250-244ffecffecc.png,generated/item-icons/8250-244ffecffecc.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,3rd Birthday Card,ready,existing,https://farmrpg.com/img/items/card_3ears.png,/img/items/card_3ears.png,card_3ears.png,card_3ears,,card_3ears-54d7cb907f39.png,generated/item-icons/card_3ears-54d7cb907f39.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4-leaf Clover,4 leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,ready,existing,https://farmrpg.com/img/items/fourleaf.png,/img/items/fourleaf.png,fourleaf.png,fourleaf,,fourleaf-972ed15b53f2.png,generated/item-icons/fourleaf-972ed15b53f2.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,4th Birthday Card,ready,existing,https://farmrpg.com/img/items/card_4th.png,/img/items/card_4th.png,card_4th.png,card_4th,,card_4th-4747df99d24d.png,generated/item-icons/card_4th-4747df99d24d.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,5 Gold,ready,existing,https://farmrpg.com/img/items/5gold.png,/img/items/5gold.png,5gold.png,5gold,,5gold-2c5d80bdb3de.png,generated/item-icons/5gold-2c5d80bdb3de.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,50 Gold,ready,existing,https://farmrpg.com/img/items/goldpouch1.png,/img/items/goldpouch1.png,goldpouch1.png,goldpouch1,,goldpouch1-867573885e32.png,generated/item-icons/goldpouch1-867573885e32.png,1,false,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
