quest_key,reward_type,item_name,canonical_key,quantity,source_url,notes
cloistered cluster i,item,Antler,antler,200,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Ancient Coin,ancient coin,100,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Orange Juice,orange juice,100,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Arnold Palmer,arnold palmer,10,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Void Bag 01,void bag 01,10,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Diamonds,diamonds,1,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster i,item,Day Off Voucher,day off voucher,1,https://buddy.farm/q/cloistered-cluster-i/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Antler,antler,200,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Ancient Coin,ancient coin,100,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Event Key,event key,1,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Buddy Doll,buddy doll,1,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Clubs,clubs,1,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Amethyst,amethyst,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Aquamarine,aquamarine,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Emerald,emerald,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Jade,jade,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Lemon Quartz,lemon quartz,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Ruby,ruby,10,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
cloistered cluster ii,item,Lovely Cookies,lovely cookies,1,https://buddy.farm/q/cloistered-cluster-ii/,BL-339 bounded August questline verification.
a better juice i,item,Apple,apple,1500,https://buddy.farm/q/a-better-juice-i/,BL-339 bounded August questline verification.
a better juice i,item,Orange,orange,1500,https://buddy.farm/q/a-better-juice-i/,BL-339 bounded August questline verification.
a better juice i,item,Lemon,lemon,1500,https://buddy.farm/q/a-better-juice-i/,BL-339 bounded August questline verification.
a better juice i,item,Peach,peach,25,https://buddy.farm/q/a-better-juice-i/,BL-339 bounded August questline verification.
a better juice ii,item,Apple,apple,1500,https://buddy.farm/q/a-better-juice-ii/,BL-339 bounded August questline verification.
a better juice ii,item,Orange,orange,1500,https://buddy.farm/q/a-better-juice-ii/,BL-339 bounded August questline verification.
a better juice ii,item,Lemon,lemon,1500,https://buddy.farm/q/a-better-juice-ii/,BL-339 bounded August questline verification.
a better juice ii,item,Peach,peach,25,https://buddy.farm/q/a-better-juice-ii/,BL-339 bounded August questline verification.
a better juice iii,item,Apple,apple,1500,https://buddy.farm/q/a-better-juice-iii/,BL-339 bounded August questline verification.
a better juice iii,item,Orange,orange,1500,https://buddy.farm/q/a-better-juice-iii/,BL-339 bounded August questline verification.
a better juice iii,item,Lemon,lemon,1500,https://buddy.farm/q/a-better-juice-iii/,BL-339 bounded August questline verification.
a better juice iii,item,Peach,peach,25,https://buddy.farm/q/a-better-juice-iii/,BL-339 bounded August questline verification.
a better juice iv,item,Apple,apple,1500,https://buddy.farm/q/a-better-juice-iv/,BL-339 bounded August questline verification.
a better juice iv,item,Orange,orange,1500,https://buddy.farm/q/a-better-juice-iv/,BL-339 bounded August questline verification.
a better juice iv,item,Lemon,lemon,1500,https://buddy.farm/q/a-better-juice-iv/,BL-339 bounded August questline verification.
a better juice iv,item,Peach,peach,25,https://buddy.farm/q/a-better-juice-iv/,BL-339 bounded August questline verification.
a better juice v,item,Apple,apple,1500,https://buddy.farm/q/a-better-juice-v/,BL-339 bounded August questline verification.
a better juice v,item,Orange,orange,1500,https://buddy.farm/q/a-better-juice-v/,BL-339 bounded August questline verification.
a better juice v,item,Lemon,lemon,1500,https://buddy.farm/q/a-better-juice-v/,BL-339 bounded August questline verification.
a better juice v,item,Peach,peach,25,https://buddy.farm/q/a-better-juice-v/,BL-339 bounded August questline verification.
a better juice vi,item,Veggie Juice Instruction Sheet,veggie juice instruction sheet,1,https://buddy.farm/q/a-better-juice-vi/,BL-339 bounded August questline verification.
daily dairy i,item,Large Net,large net,5000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Mega Pine Seeds,mega pine seeds,25,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Steel,steel,5000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Steel Wire,steel wire,5000,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy i,item,Mega Cotton Seeds,mega cotton seeds,25,https://buddy.farm/q/daily-dairy-i/,BL-339 bounded August questline verification.
daily dairy ii,item,Arnold Palmer,arnold palmer,4000,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Lemon Cream Pie,lemon cream pie,3,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy ii,item,Lemon Seltzer,lemon seltzer,20,https://buddy.farm/q/daily-dairy-ii/,BL-339 bounded August questline verification.
daily dairy iii,item,Apple Cider,apple cider,7500,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Cranberry Juice,cranberry juice,1,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Cabbage Stew,cabbage stew,3,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iii,item,Neigh,neigh,5,https://buddy.farm/q/daily-dairy-iii/,BL-339 bounded August questline verification.
daily dairy iv,item,Protein Bar,protein bar,1,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Corn Prize Bag,corn prize bag,50,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Striped Feather,striped feather,15000,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy iv,item,Egg of Tree,egg of tree,50,https://buddy.farm/q/daily-dairy-iv/,BL-339 bounded August questline verification.
daily dairy v,item,Heart Container,heart container,1,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Spades,spades,10,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Prune Juice,prune juice,3,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Large Net,large net,5000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy v,item,Small Chest 02,small chest 02,5000,https://buddy.farm/q/daily-dairy-v/,BL-339 bounded August questline verification.
daily dairy vi,item,Iced Tea,iced tea,2500,https://buddy.farm/q/daily-dairy-vi/,BL-339 bounded August questline verification.
daily dairy vi,item,Drink Bundle,drink bundle,100,https://buddy.farm/q/daily-dairy-vi/,BL-339 bounded August questline verification.
daily dairy vi,item,Buddy Doll,buddy doll,5,https://buddy.farm/q/daily-dairy-vi/,BL-339 bounded August questline verification.
daily dairy vi,item,Medium Chest 03,medium chest 03,5000,https://buddy.farm/q/daily-dairy-vi/,BL-339 bounded August questline verification.
daily dairy vii,item,Mariya's Wheelbarrow,mariya's wheelbarrow,1,https://buddy.farm/q/daily-dairy-vii/,BL-339 bounded August questline verification.
daily dairy vii,item,Egg of Tree,egg of tree,50,https://buddy.farm/q/daily-dairy-vii/,BL-339 bounded August questline verification.
fun underground now i,item,Pickaxe,pickaxe,100,https://buddy.farm/q/fun-underground-now-i/,BL-339 bounded August questline verification.
fun underground now ii,item,Pickaxe,pickaxe,100,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now ii,item,Bomb,bomb,10,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now ii,item,You Rock Card,you rock card,1,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now ii,item,Orange Juice,orange juice,25,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now ii,item,Fishing Net,fishing net,25,https://buddy.farm/q/fun-underground-now-ii/,BL-339 bounded August questline verification.
fun underground now iii,item,Explosive,explosive,10,https://buddy.farm/q/fun-underground-now-iii/,BL-339 bounded August questline verification.
fun underground now iv,item,Cid's Spare Pickaxe,cid's spare pickaxe,1,https://buddy.farm/q/fun-underground-now-iv/,BL-339 bounded August questline verification.
fun underground now iv,item,Explosive,explosive,30,https://buddy.farm/q/fun-underground-now-iv/,BL-339 bounded August questline verification.
dig in i,item,Orange Juice,orange juice,25,https://buddy.farm/q/dig-in-i/,BL-339 bounded August questline verification.
dig in ii,item,Orange Juice,orange juice,25,https://buddy.farm/q/dig-in-ii/,BL-339 bounded August questline verification.
dig in iii,item,Orange Juice,orange juice,25,https://buddy.farm/q/dig-in-iii/,BL-339 bounded August questline verification.
dig in iii,item,Bomb,bomb,2,https://buddy.farm/q/dig-in-iii/,BL-339 bounded August questline verification.
sprung forth i,item,Coal,coal,100,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth i,item,Board,board,100,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth i,item,Feathers,feathers,20,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth i,item,Mushroom,mushroom,100,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth i,item,Orange Juice,orange juice,25,https://buddy.farm/q/sprung-forth-i/,BL-339 bounded August questline verification.
sprung forth ii,item,Spring Cave Charm,spring cave charm,1,https://buddy.farm/q/sprung-forth-ii/,BL-339 bounded August questline verification.
sprung forth iii,item,Coal,coal,100,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iii,item,Board,board,100,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iii,item,Feathers,feathers,20,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iii,item,Mushroom,mushroom,100,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iii,item,Orange Juice,orange juice,25,https://buddy.farm/q/sprung-forth-iii/,BL-339 bounded August questline verification.
sprung forth iv,item,Spring Cave Charm,spring cave charm,1,https://buddy.farm/q/sprung-forth-iv/,BL-339 bounded August questline verification.
sprung forth v,item,Spring Cave Charm,spring cave charm,4,https://buddy.farm/q/sprung-forth-v/,BL-339 bounded August questline verification.
power play i,item,Mining Bag 01,mining bag 01,10,https://buddy.farm/q/power-play-i/,BL-339 bounded August questline verification.
power play i,item,Veggie Juice,veggie juice,5,https://buddy.farm/q/power-play-i/,BL-339 bounded August questline verification.
power play ii,item,Mining Bag 01,mining bag 01,10,https://buddy.farm/q/power-play-ii/,BL-339 bounded August questline verification.
power play ii,item,Bomb,bomb,5,https://buddy.farm/q/power-play-ii/,BL-339 bounded August questline verification.
power play ii,item,Orange Juice,orange juice,25,https://buddy.farm/q/power-play-ii/,BL-339 bounded August questline verification.
power play iii,item,Mining Bag 01,mining bag 01,10,https://buddy.farm/q/power-play-iii/,BL-339 bounded August questline verification.
power play iii,item,Spring Cave Charm,spring cave charm,1,https://buddy.farm/q/power-play-iii/,BL-339 bounded August questline verification.
power play iv,item,Mining Bag 01,mining bag 01,25,https://buddy.farm/q/power-play-iv/,BL-339 bounded August questline verification.
power play iv,item,Mining Bag 02,mining bag 02,10,https://buddy.farm/q/power-play-iv/,BL-339 bounded August questline verification.
power play iv,item,Orange Juice,orange juice,100,https://buddy.farm/q/power-play-iv/,BL-339 bounded August questline verification.
power play v,item,Mining Bag 01,mining bag 01,25,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Mining Bag 02,mining bag 02,10,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Orange Juice,orange juice,100,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Grab Bag 04,grab bag 04,5,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Grab Bag 05,grab bag 05,5,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play v,item,Pet Treat,pet treat,1,https://buddy.farm/q/power-play-v/,BL-339 bounded August questline verification.
power play vi,item,Mining Bag 01,mining bag 01,50,https://buddy.farm/q/power-play-vi/,BL-339 bounded August questline verification.
power play vi,item,Mining Bag 02,mining bag 02,25,https://buddy.farm/q/power-play-vi/,BL-339 bounded August questline verification.
power play vi,item,Orange Juice,orange juice,100,https://buddy.farm/q/power-play-vi/,BL-339 bounded August questline verification.
power play vii,item,Mining Bag 01,mining bag 01,100,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
power play vii,item,Mining Bag 02,mining bag 02,50,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
power play vii,item,Orange Juice,orange juice,200,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
power play vii,item,Spring Cave Charm,spring cave charm,1,https://buddy.farm/q/power-play-vii/,BL-339 bounded August questline verification.
