output_item_name,output_canonical_key,input_count,reconciliation_action,notes
Sunstone Ring,sunstone ring,3,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Strong Wire,strong wire,2,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Stained Glass Art,stained glass art,17,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Shining Earrings,shining earrings,2,matched_existing,The staged Shining Farrings label was reconciled to the exact Workshop name Shining Earrings.
Redbrook Patch,redbrook patch,9,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Refined Esperium,refined esperium,2,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Refined Plum Ore,refined plum ore,2,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Reforged Sword,reforged sword,5,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Quench,quench,4,added,Reconciled by normalized output and input names plus per-craft quantities.
Potion of Clarity,potion of clarity,4,added,Reconciled by normalized output and input names plus per-craft quantities.
Plum Goblet,plum goblet,2,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Plum Iron,plum iron,4,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Pinecone Bird Feeder,pinecone bird feeder,5,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Peridot,peridot,1,matched_existing,Reconciled by normalized output and input names plus per-craft quantities.
Pestle and Mortar,pestle and mortar,4,added,Reconciled by normalized output and input names plus per-craft quantities.
Tin Goblet,tin goblet,2,added,Reconciled by normalized output and input names plus per-craft quantities.
