output_item_name,output_canonical_key,displayed_craft_quantity,input_item_name,input_canonical_key,displayed_required_quantity,per_craft_quantity,evidence_source,evidence_date,review_status,notes
Sunstone Ring,sunstone ring,0,Sunstone,sunstone,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Sunstone Ring,sunstone ring,0,Cave Paste,cave paste,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Sunstone Ring,sunstone ring,0,Esperium Band,esperium band,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Strong Wire,strong wire,10541,Carbon Sphere,carbon sphere,10541,1,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Strong Wire,strong wire,10541,Orange Calcite,orange calcite,10541,1,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Stained Glass Art,stained glass art,0,Sandstone,sandstone,17,17,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Copper Wire,copper wire,2,2,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Aquamarine,aquamarine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Amethyst,amethyst,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Lemon Quartz,lemon quartz,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Ruby,ruby,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Shimmer Quartz,shimmer quartz,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Emerald,emerald,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Jade,jade,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Garnet,garnet,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Aquacite,aquacite,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Fairy Crystal,fairy crystal,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Lapis Lazuli,lapis lazuli,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Pyredrop,pyredrop,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Flarite,flarite,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
