output_item_name,output_canonical_key,catalog_action,mastery_action,recipe_action,input_count,notes
Orange Shirt,orange shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Sturdy Bow,sturdy bow,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Bamboo Chair,bamboo chair,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Cannon,cannon,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Milk Carton,milk carton,existing,already_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Small Bolt,small bolt,existing,already_yes,added,4,Reconciled by normalized item name; no duplicate output added.
Steel,steel,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Steel Wire,steel wire,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Strong Paste,strong paste,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Toilet Paper,toilet paper,existing,already_yes,added,1,Reconciled by normalized item name; no duplicate output added.
White Parchment,white parchment,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Wine,wine,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Cloth,cloth,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Veggie Juice,veggie juice,existing,already_yes,matched_existing,11,Reconciled by normalized item name; no duplicate output added.
Red Dye,red dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Handsaw,handsaw,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Iced Tea,iced tea,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Steel Plate,steel plate,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Leather,leather,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Glass Bottle,glass bottle,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Glass Orb,glass orb,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Shimmer Stone,shimmer stone,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Twine,twine,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Rope,rope,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Fishing Net,fishing net,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Fire Ant Farm,fire ant farm,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Large Net,large net,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Orange Juice,orange juice,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Lemonade,lemonade,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Acorn Butter,acorn butter,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Amber Cane,amber cane,existing,already_yes,matched_existing,6,Reconciled by normalized item name; no duplicate output added.
Ancient Pickaxe,ancient pickaxe,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Apple Cider,apple cider,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Aquacite Ring,aquacite ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Awl,awl,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Bamboo Fence,bamboo fence,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Bamboo Trellis,bamboo trellis,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Barbed Wire,barbed wire,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Basic Pillow,basic pillow,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Black Bag,black bag,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Black Cloak,black cloak,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Black Dye,black dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Black Purse,black purse,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Black Scarf,black scarf,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Black Shield,black shield,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Black Shirt,black shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Black Twine,black twine,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Blue Diary,blue diary,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Blue Shirt,blue shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Board,board,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Bone Pickaxe,bone pickaxe,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Bottle Rocket,bottle rocket,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Bouquet of Flowers,bouquet of flowers,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Bright Lantern,bright lantern,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Brown Cloak,brown cloak,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Brown Dye,brown dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Calmine Composite,calmine composite,added,set_yes,added,4,Reconciled by normalized item name; no duplicate output added.
Calmine Lotion,calmine lotion,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Calmine Statue,calmine statue,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Canoe,canoe,existing,already_yes,matched_existing,6,Reconciled by normalized item name; no duplicate output added.
Chisel,chisel,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Coin Purse,coin purse,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Condensed Gravicite,condensed gravicite,added,set_yes,added,1,Reconciled by normalized item name; no duplicate output added.
Cooking Pot,cooking pot,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Crown of Clover,crown of clover,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Deep Ocean Ring,deep ocean ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Embershard Ring,embershard ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Embershard Staff,embershard staff,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Emerald,emerald,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Energy Coil,energy coil,existing,already_yes,matched_existing,6,Reconciled by normalized item name; no duplicate output added.
Engine,engine,existing,already_yes,matched_existing,12,Reconciled by normalized item name; no duplicate output added.
Esperium Band,esperium band,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Essence of Slime,essence of slime,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Fairy Ring,fairy ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Fancy Chair,fancy chair,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Fancy Clock,fancy clock,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Fancy Drum,fancy drum,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Fancy Guitar,fancy guitar,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Fancy Pan Flute,fancy pan flute,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Fancy Pillow,fancy pillow,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Fancy Violin,fancy violin,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Gainite,gainite,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Garnet Walking Stick,garnet walking stick,added,set_yes,added,4,Reconciled by normalized item name; no duplicate output added.
Gazebo,gazebo,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Glass Jar,glass jar,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Glowing Lantern,glowing lantern,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Gold Aquamarine Ring,gold aquamarine ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Diamond Ring,gold diamond ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Emerald Ring,gold emerald ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Garnet Ring,gold garnet ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Jade Ring,gold jade ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Lemon Quartz Ring,gold lemon quartz ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Gold Ruby Ring,gold ruby ring,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Grand Piano,grand piano,existing,already_yes,matched_existing,11,Reconciled by normalized item name; no duplicate output added.
Grape Juice,grape juice,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Green Diary,green diary,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Green Dye,green dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Green Parchment,green parchment,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Green Shirt,green shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Horn Canteen,horn canteen,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Horn Powder,horn powder,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Hourglass,hourglass,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Joyful Ring,joyful ring,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Kill Switch,kill switch,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Lantern,lantern,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Leather Bag,leather bag,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
