"museum_category","category","item_name","canonical_key","obtainable","generated_buddy_slug","candidate_buddy_url","alternate_buddy_slug","confidence","flags","notes"
"Items","Item","3-leaf Clover","3-leaf clover","Y","3-leaf-clover","https://buddy.farm/i/3-leaf-clover/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","4-leaf Clover","4-leaf clover","Y","4-leaf-clover","https://buddy.farm/i/4-leaf-clover/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Baba Gec's Cabbage Stew","baba gec's cabbage stew","Y","baba-gec-s-cabbage-stew","https://buddy.farm/i/baba-gec-s-cabbage-stew/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Baba's Snack Pack","baba's snack pack","Y","baba-s-snack-pack","https://buddy.farm/i/baba-s-snack-pack/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Beatrix's Big Box of Boom","beatrix's big box of boom","Y","beatrix-s-big-box-of-boom","https://buddy.farm/i/beatrix-s-big-box-of-boom/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Beatrix's Booming Brawl Box 01","beatrix's booming brawl box 01","Y","beatrix-s-booming-brawl-box-01","https://buddy.farm/i/beatrix-s-booming-brawl-box-01/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Beatrix's Booming Brawl Box 02","beatrix's booming brawl box 02","Y","beatrix-s-booming-brawl-box-02","https://buddy.farm/i/beatrix-s-booming-brawl-box-02/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Boobun's Spray Bottle","boobun's spray bottle","Y","boobun-s-spray-bottle","https://buddy.farm/i/boobun-s-spray-bottle/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Borgen's Dancing Belt","borgen's dancing belt","Y","borgen-s-dancing-belt","https://buddy.farm/i/borgen-s-dancing-belt/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Buddy's Beach Bag","buddy's beach bag","Y","buddy-s-beach-bag","https://buddy.farm/i/buddy-s-beach-bag/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Buddy's Beach Ball","buddy's beach ball","Y","buddy-s-beach-ball","https://buddy.farm/i/buddy-s-beach-ball/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Buddy's Old Pirate Belt","buddy's old pirate belt","Y","buddy-s-old-pirate-belt","https://buddy.farm/i/buddy-s-old-pirate-belt/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Buddy's School Bag","buddy's school bag","Y","buddy-s-school-bag","https://buddy.farm/i/buddy-s-school-bag/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Buddy's Sleeping Cap","buddy's sleeping cap","Y","buddy-s-sleeping-cap","https://buddy.farm/i/buddy-s-sleeping-cap/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Meals","Meal","Cat's Meow","cat's meow","Y","cat-s-meow","https://buddy.farm/i/cat-s-meow/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Cecil's Shrimp-a-Plenty","cecil's shrimp-a-plenty","Y","cecil-s-shrimp-a-plenty","https://buddy.farm/i/cecil-s-shrimp-a-plenty/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Cepathorf's Case","cepathorf's case","Y","cepathorf-s-case","https://buddy.farm/i/cepathorf-s-case/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Charles's Neigh","charles's neigh","Y","charles-s-neigh","https://buddy.farm/i/charles-s-neigh/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Cid's Stone Ale","cid's stone ale","Y","cid-s-stone-ale","https://buddy.farm/i/cid-s-stone-ale/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Coderanger's Missing Semicolon","coderanger's missing semicolon","Y","coderanger-s-missing-semicolon","https://buddy.farm/i/coderanger-s-missing-semicolon/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Dewstar's Journal","dewstar's journal","Y","dewstar-s-journal","https://buddy.farm/i/dewstar-s-journal/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Diary of O'Dynn","diary of o'dynn","Y","diary-of-o-dynn","https://buddy.farm/i/diary-of-o-dynn/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
