item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,found,200,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,found,200,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Baba Gec's Cabbage Stew,baba gec's cabbage stew,baba-gec-s-cabbage-stew,https://buddy.farm/i/baba-gec-s-cabbage-stew/,found,200,https://buddy.farm/i/baba-gec-s-cabbage-stew/,Baba Gec&#x27;s Cabbage Stew,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Baba's Snack Pack,baba's snack pack,baba-s-snack-pack,https://buddy.farm/i/baba-s-snack-pack/,found,200,https://buddy.farm/i/baba-s-snack-pack/,Baba&#x27;s Snack Pack,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Beatrix's Big Box of Boom,beatrix's big box of boom,beatrix-s-big-box-of-boom,https://buddy.farm/i/beatrix-s-big-box-of-boom/,found,200,https://buddy.farm/i/beatrix-s-big-box-of-boom/,Beatrix&#x27;s Big Box of Boom,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,beatrix-s-booming-brawl-box-01,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,found,200,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,Beatrix&#x27;s Booming Brawl Box 01,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,beatrix-s-booming-brawl-box-02,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,found,200,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,Beatrix&#x27;s Booming Brawl Box 02,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Boobun's Spray Bottle,boobun's spray bottle,boobun-s-spray-bottle,https://buddy.farm/i/boobun-s-spray-bottle/,found,200,https://buddy.farm/i/boobun-s-spray-bottle/,Boobun&#x27;s Spray Bottle,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Borgen's Dancing Belt,borgen's dancing belt,borgen-s-dancing-belt,https://buddy.farm/i/borgen-s-dancing-belt/,found,200,https://buddy.farm/i/borgen-s-dancing-belt/,Borgen&#x27;s Dancing Belt,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Buddy's Beach Bag,buddy's beach bag,buddy-s-beach-bag,https://buddy.farm/i/buddy-s-beach-bag/,found,200,https://buddy.farm/i/buddy-s-beach-bag/,Buddy&#x27;s Beach Bag,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Buddy's Beach Ball,buddy's beach ball,buddy-s-beach-ball,https://buddy.farm/i/buddy-s-beach-ball/,found,200,https://buddy.farm/i/buddy-s-beach-ball/,Buddy&#x27;s Beach Ball,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Buddy's Old Pirate Belt,buddy's old pirate belt,buddy-s-old-pirate-belt,https://buddy.farm/i/buddy-s-old-pirate-belt/,found,200,https://buddy.farm/i/buddy-s-old-pirate-belt/,Buddy&#x27;s Old Pirate Belt,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Buddy's School Bag,buddy's school bag,buddy-s-school-bag,https://buddy.farm/i/buddy-s-school-bag/,found,200,https://buddy.farm/i/buddy-s-school-bag/,Buddy&#x27;s School Bag,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Buddy's Sleeping Cap,buddy's sleeping cap,buddy-s-sleeping-cap,https://buddy.farm/i/buddy-s-sleeping-cap/,found,200,https://buddy.farm/i/buddy-s-sleeping-cap/,Buddy&#x27;s Sleeping Cap,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
