"museum_category","category","item_name","canonical_key","obtainable","generated_buddy_slug","candidate_buddy_url","alternate_buddy_slug","confidence","flags","notes"
"Items","Item","3-leaf Clover","3-leaf clover","Y","3-leaf-clover","https://buddy.farm/i/3-leaf-clover/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","4-leaf Clover","4-leaf clover","Y","4-leaf-clover","https://buddy.farm/i/4-leaf-clover/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Cecil's Shrimp-a-Plenty","cecil's shrimp-a-plenty","Y","cecils-shrimp-a-plenty","https://buddy.farm/i/cecils-shrimp-a-plenty/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 01","heart-shaped box 01","Y","heart-shaped-box-01","https://buddy.farm/i/heart-shaped-box-01/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 02","heart-shaped box 02","Y","heart-shaped-box-02","https://buddy.farm/i/heart-shaped-box-02/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 03","heart-shaped box 03","Y","heart-shaped-box-03","https://buddy.farm/i/heart-shaped-box-03/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Heart-shaped Gem","heart-shaped gem","Y","heart-shaped-gem","https://buddy.farm/i/heart-shaped-gem/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Jack-o-key","jack-o-key","Y","jack-o-key","https://buddy.farm/i/jack-o-key/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Jack-o-lantern","jack-o-lantern","Y","jack-o-lantern","https://buddy.farm/i/jack-o-lantern/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Piñata","piñata","Y","pi-ata","https://buddy.farm/i/pi-ata/","pinata","review","non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant","Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation."
"Event","Event","Piñata Whop Stick","piñata whop stick","Y","pi-ata-whop-stick","https://buddy.farm/i/pi-ata-whop-stick/","pinata-whop-stick","review","non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant","Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Large)","pot of gold (large)","Y","pot-of-gold-large","https://buddy.farm/i/pot-of-gold-large/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Medium)","pot of gold (medium)","Y","pot-of-gold-medium","https://buddy.farm/i/pot-of-gold-medium/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Small)","pot of gold (small)","Y","pot-of-gold-small","https://buddy.farm/i/pot-of-gold-small/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Meals","Meal","Shrimp-a-Plenty","shrimp-a-plenty","Y","shrimp-a-plenty","https://buddy.farm/i/shrimp-a-plenty/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Skull-in-the-box","skull-in-the-box","Y","skull-in-the-box","https://buddy.farm/i/skull-in-the-box/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Baba Gec's Cabbage Stew","baba gec's cabbage stew","Y","baba-gecs-cabbage-stew","https://buddy.farm/i/baba-gecs-cabbage-stew/","","high","",""
"Items","Item","Baba's Snack Pack","baba's snack pack","Y","babas-snack-pack","https://buddy.farm/i/babas-snack-pack/","","high","",""
"Items","Item","Beatrix's Big Box of Boom","beatrix's big box of boom","Y","beatrixs-big-box-of-boom","https://buddy.farm/i/beatrixs-big-box-of-boom/","","high","",""
"Items","Item","Beatrix's Booming Brawl Box 01","beatrix's booming brawl box 01","Y","beatrixs-booming-brawl-box-01","https://buddy.farm/i/beatrixs-booming-brawl-box-01/","","high","",""
"Items","Item","Beatrix's Booming Brawl Box 02","beatrix's booming brawl box 02","Y","beatrixs-booming-brawl-box-02","https://buddy.farm/i/beatrixs-booming-brawl-box-02/","","high","",""
"Event","Event","R.O.A.S.","r.o.a.s.","Y","roas","https://buddy.farm/i/roas/","","high","",""
"Items","Item","10 Gold","10 gold","Y","10-gold","https://buddy.farm/i/10-gold/","","high","",""
"Items","Item","100 Gold","100 gold","Y","100-gold","https://buddy.farm/i/100-gold/","","high","",""
"Event","Event","11th Leaf Centerpiece","11th leaf centerpiece","Y","11th-leaf-centerpiece","https://buddy.farm/i/11th-leaf-centerpiece/","","high","",""
"Items","Item","25 Gold","25 gold","Y","25-gold","https://buddy.farm/i/25-gold/","","high","",""
