item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
Cecil's Shrimp-a-Plenty,cecil's shrimp-a-plenty,cecils-shrimp-a-plenty,https://buddy.farm/i/cecils-shrimp-a-plenty/,not_found,404,https://buddy.farm/i/cecils-shrimp-a-plenty/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Large),pot of gold (large),pot-of-gold-large,https://buddy.farm/i/pot-of-gold-large/,not_found,404,https://buddy.farm/i/pot-of-gold-large/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Medium),pot of gold (medium),pot-of-gold-medium,https://buddy.farm/i/pot-of-gold-medium/,not_found,404,https://buddy.farm/i/pot-of-gold-medium/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Pot of Gold (Small),pot of gold (small),pot-of-gold-small,https://buddy.farm/i/pot-of-gold-small/,not_found,404,https://buddy.farm/i/pot-of-gold-small/,,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
Baba Gec's Cabbage Stew,baba gec's cabbage stew,baba-gecs-cabbage-stew,https://buddy.farm/i/baba-gecs-cabbage-stew/,not_found,404,https://buddy.farm/i/baba-gecs-cabbage-stew/,,1,,
Baba's Snack Pack,baba's snack pack,babas-snack-pack,https://buddy.farm/i/babas-snack-pack/,not_found,404,https://buddy.farm/i/babas-snack-pack/,,1,,
Beatrix's Big Box of Boom,beatrix's big box of boom,beatrixs-big-box-of-boom,https://buddy.farm/i/beatrixs-big-box-of-boom/,not_found,404,https://buddy.farm/i/beatrixs-big-box-of-boom/,,1,,
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,beatrixs-booming-brawl-box-01,https://buddy.farm/i/beatrixs-booming-brawl-box-01/,not_found,404,https://buddy.farm/i/beatrixs-booming-brawl-box-01/,,1,,
Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,beatrixs-booming-brawl-box-02,https://buddy.farm/i/beatrixs-booming-brawl-box-02/,not_found,404,https://buddy.farm/i/beatrixs-booming-brawl-box-02/,,1,,
R.O.A.S.,r.o.a.s.,roas,https://buddy.farm/i/roas/,not_found,404,https://buddy.farm/i/roas/,,1,,
