item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,cache_status,http_status,cache_filename,local_relative_path,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,https://farmrpg.com/img/items/10gold.png,/img/items/10gold.png,10gold.png,10gold,,existing,,10gold-bd63bf199aa1.png,generated/item-icons/10gold-bd63bf199aa1.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,https://farmrpg.com/img/items/goldpouch2.png,/img/items/goldpouch2.png,goldpouch2.png,goldpouch2,,existing,,goldpouch2-36d0283617a3.png,generated/item-icons/goldpouch2-36d0283617a3.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,centerpiece,,existing,,centerpiece-54b122c6b71c.png,generated/item-icons/centerpiece-54b122c6b71c.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,https://farmrpg.com/img/items/25gold.png,/img/items/25gold.png,25gold.png,25gold,,existing,,25gold-f87eac23dfb8.png,generated/item-icons/25gold-f87eac23dfb8.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3-leaf Clover,3 leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,https://farmrpg.com/img/items/8250.PNG,/img/items/8250.PNG,8250.PNG,8250,8250,existing,,8250-244ffecffecc.png,generated/item-icons/8250-244ffecffecc.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,https://farmrpg.com/img/items/card_3ears.png,/img/items/card_3ears.png,card_3ears.png,card_3ears,,existing,,card_3ears-54d7cb907f39.png,generated/item-icons/card_3ears-54d7cb907f39.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4-leaf Clover,4 leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,https://farmrpg.com/img/items/fourleaf.png,/img/items/fourleaf.png,fourleaf.png,fourleaf,,existing,,fourleaf-972ed15b53f2.png,generated/item-icons/fourleaf-972ed15b53f2.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,https://farmrpg.com/img/items/card_4th.png,/img/items/card_4th.png,card_4th.png,card_4th,,existing,,card_4th-4747df99d24d.png,generated/item-icons/card_4th-4747df99d24d.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,https://farmrpg.com/img/items/5gold.png,/img/items/5gold.png,5gold.png,5gold,,existing,,5gold-2c5d80bdb3de.png,generated/item-icons/5gold-2c5d80bdb3de.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,https://farmrpg.com/img/items/goldpouch1.png,/img/items/goldpouch1.png,goldpouch1.png,goldpouch1,,existing,,goldpouch1-867573885e32.png,generated/item-icons/goldpouch1-867573885e32.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
5th Birthday Card,5th birthday card,5th-birthday-card,https://buddy.farm/i/5th-birthday-card/,https://farmrpg.com/img/items/5th_card.png,/img/items/5th_card.png,5th_card.png,5th_card,,downloaded,200,5th_card-e8e784743975.png,generated/item-icons/5th_card-e8e784743975.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn,acorn,acorn,https://buddy.farm/i/acorn/,https://farmrpg.com/img/items/5759.PNG,/img/items/5759.PNG,5759.PNG,5759,5759,existing,,5759-a03bd4cfda76.png,generated/item-icons/5759-a03bd4cfda76.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn Butter,acorn butter,acorn-butter,https://buddy.farm/i/acorn-butter/,https://farmrpg.com/img/items/Acorn_butter.png,/img/items/Acorn_butter.png,Acorn_butter.png,Acorn_butter,,downloaded,200,Acorn_butter-c76ea5ef44d0.png,generated/item-icons/Acorn_butter-c76ea5ef44d0.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn Pie,acorn pie,acorn-pie,https://buddy.farm/i/acorn-pie/,https://farmrpg.com/img/items/acorn_pie.png,/img/items/acorn_pie.png,acorn_pie.png,acorn_pie,,existing,,acorn_pie-60efc12dc73c.png,generated/item-icons/acorn_pie-60efc12dc73c.png,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
