item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,page_title,extraction_status,observation_status,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,10 Gold,icon_found,observed,https://farmrpg.com/img/items/10gold.png,/img/items/10gold.png,10gold.png,10gold,,,
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,100 Gold,icon_found,observed,https://farmrpg.com/img/items/goldpouch2.png,/img/items/goldpouch2.png,goldpouch2.png,goldpouch2,,,
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,icon_found,observed,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,centerpiece,,,
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,25 Gold,icon_found,observed,https://farmrpg.com/img/items/25gold.png,/img/items/25gold.png,25gold.png,25gold,,,
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,icon_found,observed,https://farmrpg.com/img/items/8250.PNG,/img/items/8250.PNG,8250.PNG,8250,8250,,
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,3rd Birthday Card,icon_found,observed,https://farmrpg.com/img/items/card_3ears.png,/img/items/card_3ears.png,card_3ears.png,card_3ears,,,
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,icon_found,observed,https://farmrpg.com/img/items/fourleaf.png,/img/items/fourleaf.png,fourleaf.png,fourleaf,,,
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,4th Birthday Card,icon_found,observed,https://farmrpg.com/img/items/card_4th.png,/img/items/card_4th.png,card_4th.png,card_4th,,,
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,5 Gold,icon_found,observed,https://farmrpg.com/img/items/5gold.png,/img/items/5gold.png,5gold.png,5gold,,,
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,50 Gold,icon_found,observed,https://farmrpg.com/img/items/goldpouch1.png,/img/items/goldpouch1.png,goldpouch1.png,goldpouch1,,,
Acorn,acorn,acorn,https://buddy.farm/i/acorn/,Acorn,icon_found,observed,https://farmrpg.com/img/items/5759.PNG,/img/items/5759.PNG,5759.PNG,5759,5759,,
Acorn Butter,acorn butter,acorn-butter,https://buddy.farm/i/acorn-butter/,Acorn Butter,icon_found,observed,https://farmrpg.com/img/items/acornbutter.png?1,/img/items/acornbutter.png,acornbutter.png,acornbutter,,,
Acorn Pie,acorn pie,acorn-pie,https://buddy.farm/i/acorn-pie/,Acorn Pie,icon_found,observed,https://farmrpg.com/img/items/acorn_pie.png,/img/items/acorn_pie.png,acorn_pie.png,acorn_pie,,,
Adventure Buddy Doll,adventure buddy doll,adventure-buddy-doll,https://buddy.farm/i/adventure-buddy-doll/,Adventure Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/ebuddy.png,/img/items/ebuddy.png,ebuddy.png,ebuddy,,,
Amber,amber,amber,https://buddy.farm/i/amber/,Amber,icon_found,observed,https://farmrpg.com/img/items/6675.png,/img/items/6675.png,6675.png,6675,6675,,
Amber Cane,amber cane,amber-cane,https://buddy.farm/i/amber-cane/,Amber Cane,icon_found,observed,https://farmrpg.com/img/items/ambercane.png?2,/img/items/ambercane.png,ambercane.png,ambercane,,,
Amber Mire Bloom,amber mire bloom,amber-mire-bloom,https://buddy.farm/i/amber-mire-bloom/,Amber Mire Bloom,icon_found,observed,https://farmrpg.com/img/items/amberbloom.png,/img/items/amberbloom.png,amberbloom.png,amberbloom,,,
