item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,extraction_status,http_status,page_title,icon_url,icon_pathname,icon_filename,image_url_count,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,icon_found,200,10 Gold,https://farmrpg.com/img/items/10gold.png,/img/items/10gold.png,10gold.png,6,,
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,icon_found,200,100 Gold,https://farmrpg.com/img/items/goldpouch2.png,/img/items/goldpouch2.png,goldpouch2.png,9,,
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,icon_found,200,11th Leaf Centerpiece,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,1,,
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,icon_found,200,25 Gold,https://farmrpg.com/img/items/25gold.png,/img/items/25gold.png,25gold.png,5,,
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,icon_found,200,3-leaf Clover,https://farmrpg.com/img/items/8250.PNG,/img/items/8250.PNG,8250.PNG,27,,
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,icon_found,200,3rd Birthday Card,https://farmrpg.com/img/items/card_3ears.png,/img/items/card_3ears.png,card_3ears.png,12,,
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,icon_found,200,4-leaf Clover,https://farmrpg.com/img/items/fourleaf.png,/img/items/fourleaf.png,fourleaf.png,50,,
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,icon_found,200,4th Birthday Card,https://farmrpg.com/img/items/card_4th.png,/img/items/card_4th.png,card_4th.png,27,,
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,icon_found,200,5 Gold,https://farmrpg.com/img/items/5gold.png,/img/items/5gold.png,5gold.png,8,,
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,icon_found,200,50 Gold,https://farmrpg.com/img/items/goldpouch1.png,/img/items/goldpouch1.png,goldpouch1.png,5,,
Acorn,acorn,acorn,https://buddy.farm/i/acorn/,icon_found,200,Acorn,https://farmrpg.com/img/items/5759.PNG,/img/items/5759.PNG,5759.PNG,34,,
Acorn Butter,acorn butter,acorn-butter,https://buddy.farm/i/acorn-butter/,icon_found,200,Acorn Butter,https://farmrpg.com/img/items/acornbutter.png?1,/img/items/acornbutter.png,acornbutter.png,21,,
Acorn Pie,acorn pie,acorn-pie,https://buddy.farm/i/acorn-pie/,icon_found,200,Acorn Pie,https://farmrpg.com/img/items/acorn_pie.png,/img/items/acorn_pie.png,acorn_pie.png,18,,
Adventure Buddy Doll,adventure buddy doll,adventure-buddy-doll,https://buddy.farm/i/adventure-buddy-doll/,icon_found,200,Adventure Buddy Doll,https://farmrpg.com/img/items/ebuddy.png,/img/items/ebuddy.png,ebuddy.png,2,,
Amber,amber,amber,https://buddy.farm/i/amber/,icon_found,200,Amber,https://farmrpg.com/img/items/6675.png,/img/items/6675.png,6675.png,8,,
Amber Cane,amber cane,amber-cane,https://buddy.farm/i/amber-cane/,icon_found,200,Amber Cane,https://farmrpg.com/img/items/ambercane.png?2,/img/items/ambercane.png,ambercane.png,24,,
Amber Mire Bloom,amber mire bloom,amber-mire-bloom,https://buddy.farm/i/amber-mire-bloom/,icon_found,200,Amber Mire Bloom,https://farmrpg.com/img/items/amberbloom.png,/img/items/amberbloom.png,amberbloom.png,2,,
Amethyst,amethyst,amethyst,https://buddy.farm/i/amethyst/,icon_found,200,Amethyst,https://farmrpg.com/img/items/amethyst.png,/img/items/amethyst.png,amethyst.png,21,,
Amethyst Necklace,amethyst necklace,amethyst-necklace,https://buddy.farm/i/amethyst-necklace/,icon_found,200,Amethyst Necklace,https://farmrpg.com/img/items/8016.png,/img/items/8016.png,8016.png,31,,
Anchor,anchor,anchor,https://buddy.farm/i/anchor/,icon_found,200,Anchor,https://farmrpg.com/img/items/pirates_45_t.png?1,/img/items/pirates_45_t.png,pirates_45_t.png,1,,
Ancient Coin,ancient coin,ancient-coin,https://buddy.farm/i/ancient-coin/,icon_found,200,Ancient Coin,https://farmrpg.com/img/items/6019.PNG,/img/items/6019.PNG,6019.PNG,147,,
