item_name,canonical_key,buddy_url,page_data_url,cache_file_name,status,http_status,source_status,fetched_at,flags,notes
Salt,salt,https://buddy.farm/i/salt/,https://buddy.farm/page-data/i/salt/page-data.json,salt__salt.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; pet/openable/Wishing Well coverage check
Frost Snapper Shell,frost_snapper_shell,https://buddy.farm/i/frost-snapper-shell/,https://buddy.farm/page-data/i/frost-snapper-shell/page-data.json,frost-snapper-shell__frost-snapper-shell.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; large-net planning and Distant Illusions coverage
Spiked Shell,spiked_shell,https://buddy.farm/i/spiked-shell/,https://buddy.farm/page-data/i/spiked-shell/page-data.json,spiked-shell__spiked-shell.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; large-net and Wishing Well planning coverage
Large Net,large_net,https://buddy.farm/i/large-net/,https://buddy.farm/page-data/i/large-net/page-data.json,large-net__large-net.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; active fishing source unit
Fishing Net,fishing_net,https://buddy.farm/i/fishing-net/,https://buddy.farm/page-data/i/fishing-net/page-data.json,fishing-net__fishing-net.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; recursive net crafting input
Antler,antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; Tower artifact and pet-recursive net source
Apple Cider,apple_cider,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; active explore source unit
Corn Prize Bag,corn_prize_bag,https://buddy.farm/i/corn-prize-bag/,https://buddy.farm/page-data/i/corn-prize-bag/page-data.json,corn-prize-bag__corn-prize-bag.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; Salt openable source check
Large Chest 03,large_chest_03,https://buddy.farm/i/large-chest-03/,https://buddy.farm/page-data/i/large-chest-03/page-data.json,large-chest-03__large-chest-03.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; reviewed Salt openable source check
Orange Gecko,orange_gecko,https://buddy.farm/i/orange-gecko/,https://buddy.farm/page-data/i/orange-gecko/page-data.json,orange-gecko__orange-gecko.json,cached,200,sources_present,2026-06-04T04:57:05.185Z,,BL-247 initial source-planning target; explore-source and quest bottleneck coverage
