item_name,canonical_key,buddy_url,page_data_url,cache_file_name,http_status,source_status,recipes,used_in_recipes,drop_rates,pet_sources,openable_contents,openable_sources,wishing_well_outputs,wishing_well_inputs,quest_rows,unknown_detected_sections,flags,warnings
10 Gold,10 gold,https://buddy.farm/i/10-gold/,https://buddy.farm/page-data/i/10-gold/page-data.json,10-gold__10-gold.json,200,sources_present,0,0,0,0,0,0,0,0,7,,,
100 Gold,100 gold,https://buddy.farm/i/100-gold/,https://buddy.farm/page-data/i/100-gold/page-data.json,100-gold__100-gold.json,200,sources_present,0,0,0,0,0,0,0,0,7,,,
11th Leaf Centerpiece,11th leaf centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,https://buddy.farm/page-data/i/11th-leaf-centerpiece/page-data.json,11th-leaf-centerpiece__11th-leaf-centerpiece.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
25 Gold,25 gold,https://buddy.farm/i/25-gold/,https://buddy.farm/page-data/i/25-gold/page-data.json,25-gold__25-gold.json,200,sources_present,0,0,0,0,0,0,0,0,3,,,
3-leaf Clover,3 leaf clover,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,3-leaf-clover__3-leaf-clover.json,200,sources_present,0,1,4,2,0,6,0,0,11,,,
3rd Birthday Card,3rd birthday card,https://buddy.farm/i/3rd-birthday-card/,https://buddy.farm/page-data/i/3rd-birthday-card/page-data.json,3rd-birthday-card__3rd-birthday-card.json,200,sources_present,0,0,0,0,0,0,0,0,10,,,
4-leaf Clover,4 leaf clover,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,4-leaf-clover__4-leaf-clover.json,200,sources_present,0,1,4,2,0,4,3,2,28,,,
4th Birthday Card,4th birthday card,https://buddy.farm/i/4th-birthday-card/,https://buddy.farm/page-data/i/4th-birthday-card/page-data.json,4th-birthday-card__4th-birthday-card.json,200,sources_present,0,0,0,0,0,0,0,0,25,,,
5 Gold,5 gold,https://buddy.farm/i/5-gold/,https://buddy.farm/page-data/i/5-gold/page-data.json,5-gold__5-gold.json,200,sources_present,0,0,0,0,0,0,0,0,4,,,
50 Gold,50 gold,https://buddy.farm/i/50-gold/,https://buddy.farm/page-data/i/50-gold/page-data.json,50-gold__50-gold.json,200,sources_present,0,0,0,0,0,0,0,0,3,,,
5th Birthday Card,5th birthday card,https://buddy.farm/i/5th-birthday-card/,https://buddy.farm/page-data/i/5th-birthday-card/page-data.json,5th-birthday-card__5th-birthday-card.json,200,sources_present,0,0,0,0,0,0,0,0,8,,,
Acorn,acorn,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,acorn__acorn.json,200,sources_present,0,2,4,2,0,1,0,0,21,,,
Acorn Butter,acorn butter,https://buddy.farm/i/acorn-butter/,https://buddy.farm/page-data/i/acorn-butter/page-data.json,acorn-butter__acorn-butter.json,200,sources_present,1,0,0,0,0,0,0,0,19,,,
Acorn Pie,acorn pie,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,200,sources_present,1,0,0,0,0,0,0,0,19,,,
Adventure Buddy Doll,adventure buddy doll,https://buddy.farm/i/adventure-buddy-doll/,https://buddy.farm/page-data/i/adventure-buddy-doll/page-data.json,adventure-buddy-doll__adventure-buddy-doll.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Alien Fuzzy Chick,alien fuzzy chick,https://buddy.farm/i/alien-fuzzy-chick/,https://buddy.farm/page-data/i/alien-fuzzy-chick/page-data.json,alien-fuzzy-chick__alien-fuzzy-chick.json,200,sources_present,0,0,0,0,0,0,0,0,2,,,
Amber,amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,amber__amber.json,200,sources_present,0,1,4,1,0,0,0,0,3,,,
Amber Cane,amber cane,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,200,sources_present,1,0,0,0,0,0,0,0,16,,,
Amber Mire Bloom,amber mire bloom,https://buddy.farm/i/amber-mire-bloom/,https://buddy.farm/page-data/i/amber-mire-bloom/page-data.json,amber-mire-bloom__amber-mire-bloom.json,200,sources_present,0,1,0,0,0,0,0,0,0,,,
Amethyst,amethyst,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,amethyst__amethyst.json,200,sources_present,0,2,4,3,0,1,0,2,13,,,
Amethyst Necklace,amethyst necklace,https://buddy.farm/i/amethyst-necklace/,https://buddy.farm/page-data/i/amethyst-necklace/page-data.json,amethyst-necklace__amethyst-necklace.json,200,sources_present,1,0,0,0,0,1,0,0,25,,,
Anchor,anchor,https://buddy.farm/i/anchor/,https://buddy.farm/page-data/i/anchor/page-data.json,anchor__anchor.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Ancient Coin,ancient coin,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,200,sources_present,0,0,8,1,0,13,12,2,186,,,
Ancient Stone Cicada,ancient stone cicada,https://buddy.farm/i/ancient-stone-cicada/,https://buddy.farm/page-data/i/ancient-stone-cicada/page-data.json,ancient-stone-cicada__ancient-stone-cicada.json,200,sources_present,0,0,0,0,0,0,0,0,2,,,
Ancient Treasure Belt,ancient treasure belt,https://buddy.farm/i/ancient-treasure-belt/,https://buddy.farm/page-data/i/ancient-treasure-belt/page-data.json,ancient-treasure-belt__ancient-treasure-belt.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Anglerfish,anglerfish,https://buddy.farm/i/anglerfish/,https://buddy.farm/page-data/i/anglerfish/page-data.json,anglerfish__anglerfish.json,200,sources_present,0,0,0,1,0,0,0,0,4,,,
Ant Apple,ant apple,https://buddy.farm/i/ant-apple/,https://buddy.farm/page-data/i/ant-apple/page-data.json,ant-apple__ant-apple.json,200,sources_present,0,0,0,0,0,0,0,0,9,,,
Antler,antler,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,200,sources_present,0,1,8,1,0,4,3,1,45,,,
Apple,apple,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,200,sources_present,0,2,16,1,0,27,0,1,223,,,
Apple Ant,apple ant,https://buddy.farm/i/apple-ant/,https://buddy.farm/page-data/i/apple-ant/page-data.json,apple-ant__apple-ant.json,200,sources_present,0,0,0,0,0,1,0,0,8,,,
Apple Ant Buddy Doll,apple ant buddy doll,https://buddy.farm/i/apple-ant-buddy-doll/,https://buddy.farm/page-data/i/apple-ant-buddy-doll/page-data.json,apple-ant-buddy-doll__apple-ant-buddy-doll.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Apple Basket,apple basket,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,200,sources_blank,0,0,0,0,5,3,0,0,0,,,
Apple Belt,apple belt,https://buddy.farm/i/apple-belt/,https://buddy.farm/page-data/i/apple-belt/page-data.json,apple-belt__apple-belt.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Apple Buddy Doll,apple buddy doll,https://buddy.farm/i/apple-buddy-doll/,https://buddy.farm/page-data/i/apple-buddy-doll/page-data.json,apple-buddy-doll__apple-buddy-doll.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Apple Cider,apple cider,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,200,sources_present,1,0,0,1,0,19,3,0,207,,,
Apple Core,apple core,https://buddy.farm/i/apple-core/,https://buddy.farm/page-data/i/apple-core/page-data.json,apple-core__apple-core.json,200,sources_present,0,0,0,0,0,3,0,0,1,,,
Apple Crate 01,apple crate 01,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,200,sources_blank,0,0,0,0,7,2,0,0,0,,,
Apple Crate 02,apple crate 02,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,200,sources_blank,0,0,0,0,11,1,0,0,0,,,
Apple Picker,apple picker,https://buddy.farm/i/apple-picker/,https://buddy.farm/page-data/i/apple-picker/page-data.json,apple-picker__apple-picker.json,200,sources_present,0,0,0,0,0,1,0,0,2,,,
Apple Pie,apple pie,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,200,sources_present,0,0,0,0,0,5,0,0,41,,,
Apple Slice,apple slice,https://buddy.farm/i/apple-slice/,https://buddy.farm/page-data/i/apple-slice/page-data.json,apple-slice__apple-slice.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Apple Slicer,apple slicer,https://buddy.farm/i/apple-slicer/,https://buddy.farm/page-data/i/apple-slicer/page-data.json,apple-slicer__apple-slicer.json,200,sources_present,0,0,0,0,0,2,0,0,2,,,
Apple Turnover,apple turnover,https://buddy.farm/i/apple-turnover/,https://buddy.farm/page-data/i/apple-turnover/page-data.json,apple-turnover__apple-turnover.json,200,sources_present,0,0,0,0,0,2,0,0,12,,,
Aquacite,aquacite,https://buddy.farm/i/aquacite/,https://buddy.farm/page-data/i/aquacite/page-data.json,aquacite__aquacite.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Aquamarine,aquamarine,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,200,sources_present,0,5,4,0,0,3,4,1,37,,,
Aquamarine Ring,aquamarine ring,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,200,sources_present,1,0,0,0,0,1,0,0,35,,,
Arnold Palmer,arnold palmer,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,200,sources_present,1,0,0,0,0,21,0,0,321,,,
Arrowhead,arrowhead,https://buddy.farm/i/arrowhead/,https://buddy.farm/page-data/i/arrowhead/page-data.json,arrowhead__arrowhead.json,200,sources_present,0,2,4,1,0,0,0,1,22,,,
Ashes of Pentagorn,ashes of pentagorn,https://buddy.farm/i/ashes-of-pentagorn/,https://buddy.farm/page-data/i/ashes-of-pentagorn/page-data.json,ashes-of-pentagorn__ashes-of-pentagorn.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Asteroid Egg,asteroid egg,https://buddy.farm/i/asteroid-egg/,https://buddy.farm/page-data/i/asteroid-egg/page-data.json,asteroid-egg__asteroid-egg.json,200,sources_present,0,0,0,0,0,1,0,0,2,,,
Astro Fuzzy Chick,astro fuzzy chick,https://buddy.farm/i/astro-fuzzy-chick/,https://buddy.farm/page-data/i/astro-fuzzy-chick/page-data.json,astro-fuzzy-chick__astro-fuzzy-chick.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Awl,awl,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,awl__awl.json,200,sources_present,1,6,0,0,0,0,0,0,28,,,
Axe,axe,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,200,sources_present,1,3,0,1,0,0,0,0,46,,,
B for Buddies,b for buddies,https://buddy.farm/i/b-for-buddies/,https://buddy.farm/page-data/i/b-for-buddies/page-data.json,b-for-buddies__b-for-buddies.json,200,sources_present,0,0,0,0,0,0,0,0,12,,,
Baba Bobblehead,baba bobblehead,https://buddy.farm/i/baba-bobblehead/,https://buddy.farm/page-data/i/baba-bobblehead/page-data.json,baba-bobblehead__baba-bobblehead.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Baba Cola,baba cola,https://buddy.farm/i/baba-cola/,https://buddy.farm/page-data/i/baba-cola/page-data.json,baba-cola__baba-cola.json,200,sources_present,0,0,0,0,0,2,0,0,19,,,
Baba Gec's Cabbage Stew,baba gec s cabbage stew,https://buddy.farm/i/baba-gec-s-cabbage-stew/,https://buddy.farm/page-data/i/baba-gec-s-cabbage-stew/page-data.json,baba-gec-s-cabbage-stew__baba-gec-s-cabbage-stew.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Baba's Snack Pack,baba s snack pack,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,200,sources_blank,0,0,0,0,9,2,0,0,0,,,
Backpack,backpack,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,200,sources_present,0,0,0,0,12,3,0,0,2,,,
Backstabbing Dagger,backstabbing dagger,https://buddy.farm/i/backstabbing-dagger/,https://buddy.farm/page-data/i/backstabbing-dagger/page-data.json,backstabbing-dagger__backstabbing-dagger.json,200,sources_present,0,0,0,0,0,0,0,0,3,,,
Bacon,bacon,https://buddy.farm/i/bacon/,https://buddy.farm/page-data/i/bacon/page-data.json,bacon__bacon.json,200,sources_present,0,1,4,0,0,3,3,5,63,,,
Bag of Ghost Candy,bag of ghost candy,https://buddy.farm/i/bag-of-ghost-candy/,https://buddy.farm/page-data/i/bag-of-ghost-candy/page-data.json,bag-of-ghost-candy__bag-of-ghost-candy.json,200,sources_present,0,0,0,0,2,0,0,0,14,,,
Bag of Presents 01,bag of presents 01,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,200,sources_present,0,0,0,0,5,0,0,0,5,,,
Bag of Presents 02,bag of presents 02,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,200,sources_present,0,0,0,0,5,0,0,0,4,,,
Bag of Snowballs,bag of snowballs,https://buddy.farm/i/bag-of-snowballs/,https://buddy.farm/page-data/i/bag-of-snowballs/page-data.json,bag-of-snowballs__bag-of-snowballs.json,200,sources_blank,0,0,0,0,1,0,0,0,0,,,
Bag of Spring Seeds,bag of spring seeds,https://buddy.farm/i/bag-of-spring-seeds/,https://buddy.farm/page-data/i/bag-of-spring-seeds/page-data.json,bag-of-spring-seeds__bag-of-spring-seeds.json,200,sources_present,0,0,0,0,1,1,0,0,27,,,
