item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,page_title,extraction_status,observation_status,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,10 Gold,icon_found,observed,https://farmrpg.com/img/items/10gold.png,/img/items/10gold.png,10gold.png,10gold,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,100 Gold,icon_found,observed,https://farmrpg.com/img/items/goldpouch2.png,/img/items/goldpouch2.png,goldpouch2.png,goldpouch2,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,icon_found,observed,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,centerpiece,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,25 Gold,icon_found,observed,https://farmrpg.com/img/items/25gold.png,/img/items/25gold.png,25gold.png,25gold,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3-leaf Clover,3 leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,icon_found,observed,https://farmrpg.com/img/items/8250.PNG,/img/items/8250.PNG,8250.PNG,8250,8250,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,3rd Birthday Card,icon_found,observed,https://farmrpg.com/img/items/card_3ears.png,/img/items/card_3ears.png,card_3ears.png,card_3ears,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4-leaf Clover,4 leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,icon_found,observed,https://farmrpg.com/img/items/fourleaf.png,/img/items/fourleaf.png,fourleaf.png,fourleaf,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,4th Birthday Card,icon_found,observed,https://farmrpg.com/img/items/card_4th.png,/img/items/card_4th.png,card_4th.png,card_4th,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,5 Gold,icon_found,observed,https://farmrpg.com/img/items/5gold.png,/img/items/5gold.png,5gold.png,5gold,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,50 Gold,icon_found,observed,https://farmrpg.com/img/items/goldpouch1.png,/img/items/goldpouch1.png,goldpouch1.png,goldpouch1,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
5th Birthday Card,5th birthday card,5th-birthday-card,https://buddy.farm/i/5th-birthday-card/,5th Birthday Card,icon_found,observed,https://farmrpg.com/img/items/5th_card.png,/img/items/5th_card.png,5th_card.png,5th_card,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn,acorn,acorn,https://buddy.farm/i/acorn/,Acorn,icon_found,observed,https://farmrpg.com/img/items/5759.PNG,/img/items/5759.PNG,5759.PNG,5759,5759,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn Butter,acorn butter,acorn-butter,https://buddy.farm/i/acorn-butter/,Acorn Butter,icon_found,observed,https://farmrpg.com/img/items/Acorn_butter.png,/img/items/Acorn_butter.png,Acorn_butter.png,Acorn_butter,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Acorn Pie,acorn pie,acorn-pie,https://buddy.farm/i/acorn-pie/,Acorn Pie,icon_found,observed,https://farmrpg.com/img/items/acorn_pie.png,/img/items/acorn_pie.png,acorn_pie.png,acorn_pie,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Adventure Buddy Doll,adventure buddy doll,adventure-buddy-doll,https://buddy.farm/i/adventure-buddy-doll/,Adventure Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/ebuddy.png,/img/items/ebuddy.png,ebuddy.png,ebuddy,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Alien Fuzzy Chick,alien fuzzy chick,alien-fuzzy-chick,https://buddy.farm/i/alien-fuzzy-chick/,Alien Fuzzy Chick,icon_found,observed,https://farmrpg.com/img/items/alien_fuzzy_chick.png,/img/items/alien_fuzzy_chick.png,alien_fuzzy_chick.png,alien_fuzzy_chick,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Amber,amber,amber,https://buddy.farm/i/amber/,Amber,icon_found,observed,https://farmrpg.com/img/items/6675.png,/img/items/6675.png,6675.png,6675,6675,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Amber Cane,amber cane,amber-cane,https://buddy.farm/i/amber-cane/,Amber Cane,icon_found,observed,https://farmrpg.com/img/items/ambercane.png?2,/img/items/ambercane.png,ambercane.png,ambercane,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Amber Mire Bloom,amber mire bloom,amber-mire-bloom,https://buddy.farm/i/amber-mire-bloom/,Amber Mire Bloom,icon_found,observed,https://farmrpg.com/img/items/amberbloom.png,/img/items/amberbloom.png,amberbloom.png,amberbloom,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Amethyst,amethyst,amethyst,https://buddy.farm/i/amethyst/,Amethyst,icon_found,observed,https://farmrpg.com/img/items/amethyst.png,/img/items/amethyst.png,amethyst.png,amethyst,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Amethyst Necklace,amethyst necklace,amethyst-necklace,https://buddy.farm/i/amethyst-necklace/,Amethyst Necklace,icon_found,observed,https://farmrpg.com/img/items/8016.png,/img/items/8016.png,8016.png,8016,8016,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Anchor,anchor,anchor,https://buddy.farm/i/anchor/,Anchor,icon_found,observed,https://farmrpg.com/img/items/pirates_45_t.png?1,/img/items/pirates_45_t.png,pirates_45_t.png,pirates_45_t,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Ancient Coin,ancient coin,ancient-coin,https://buddy.farm/i/ancient-coin/,Ancient Coin,icon_found,observed,https://farmrpg.com/img/items/6019.PNG,/img/items/6019.PNG,6019.PNG,6019,6019,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Ancient Stone Cicada,ancient stone cicada,ancient-stone-cicada,https://buddy.farm/i/ancient-stone-cicada/,Ancient Stone Cicada,icon_found,observed,https://farmrpg.com/img/items/stonecicada.png?1,/img/items/stonecicada.png,stonecicada.png,stonecicada,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
Ancient Treasure Belt,ancient treasure belt,ancient-treasure-belt,https://buddy.farm/i/ancient-treasure-belt/,Ancient Treasure Belt,icon_found,observed,https://farmrpg.com/img/items/ancientbelt.png,/img/items/ancientbelt.png,ancientbelt.png,ancientbelt,,,Observed from cached Buddy page-data item image; review before asset download or canonical promotion.
