item_name,canonical_key,mastery_possible,farmrpg_item_id,buddy_slug,source_datasets,source_url,page_data_url,parser_version,notes
10 Gold,10 gold,unknown,511,10-gold,buddy_item_evidence_cache,https://buddy.farm/i/10-gold/,https://buddy.farm/page-data/i/10-gold/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
100 Gold,100 gold,unknown,454,100-gold,buddy_item_evidence_cache,https://buddy.farm/i/100-gold/,https://buddy.farm/page-data/i/100-gold/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
11th Leaf Centerpiece,11th leaf centerpiece,unknown,1319,11th-leaf-centerpiece,buddy_item_evidence_cache,https://buddy.farm/i/11th-leaf-centerpiece/,https://buddy.farm/page-data/i/11th-leaf-centerpiece/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
25 Gold,25 gold,unknown,510,25-gold,buddy_item_evidence_cache,https://buddy.farm/i/25-gold/,https://buddy.farm/page-data/i/25-gold/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
3-leaf Clover,3 leaf clover,unknown,187,3-leaf-clover,buddy_item_evidence_cache,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
3rd Birthday Card,3rd birthday card,unknown,1050,3rd-birthday-card,buddy_item_evidence_cache,https://buddy.farm/i/3rd-birthday-card/,https://buddy.farm/page-data/i/3rd-birthday-card/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
4-leaf Clover,4 leaf clover,unknown,188,4-leaf-clover,buddy_item_evidence_cache,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
4th Birthday Card,4th birthday card,unknown,1234,4th-birthday-card,buddy_item_evidence_cache,https://buddy.farm/i/4th-birthday-card/,https://buddy.farm/page-data/i/4th-birthday-card/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
5 Gold,5 gold,unknown,512,5-gold,buddy_item_evidence_cache,https://buddy.farm/i/5-gold/,https://buddy.farm/page-data/i/5-gold/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
50 Gold,50 gold,unknown,509,50-gold,buddy_item_evidence_cache,https://buddy.farm/i/50-gold/,https://buddy.farm/page-data/i/50-gold/page-data.json,buddy-item-multi-source-v1,Candidate only; review before canonical promotion and do not infer mastery eligibility.
