openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_min,quantity_max,quantity_kind,evidence,notes,source_url,page_data_url,cache_file_name,parser_version
Apple Basket,apple basket,Apple Pie,apple pie,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Basket,apple basket,Apple,apple,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Basket,apple basket,Apple Cider,apple cider,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Basket,apple basket,Apple Core,apple core,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Basket,apple basket,Raffle Ticket,raffle ticket,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple,apple,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Cider,apple cider,25,25,25,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Raffle Ticket,raffle ticket,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Pie,apple pie,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Turnover,apple turnover,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Slicer,apple slicer,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
