pet_name,pet_canonical_key,item_name,item_canonical_key,unlock_level,source_url,page_data_url,coverage_status,notes,cache_file_name,parser_version
Hummingbird,hummingbird,3-leaf Clover,3 leaf clover,1,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Swine,swine,3-leaf Clover,3 leaf clover,1,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Hummingbird,hummingbird,4-leaf Clover,4 leaf clover,3,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Squirrel,squirrel,4-leaf Clover,4 leaf clover,6,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Wolf,wolf,Acorn,acorn,3,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Squirrel,squirrel,Acorn,acorn,1,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
"Lemur
",lemur,Amber,amber,6,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Pet Rock,pet rock,Amethyst,amethyst,3,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Dog,dog,Amethyst,amethyst,6,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Spider,spider,Amethyst,amethyst,1,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Squirrel,squirrel,Ancient Coin,ancient coin,3,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Bird,bird,Anglerfish,anglerfish,6,https://buddy.farm/i/anglerfish/,https://buddy.farm/page-data/i/anglerfish/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Dog,dog,Antler,antler,3,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Owl,owl,Apple,apple,1,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Capybara,capybara,Apple Cider,apple cider,3,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Squirrel,squirrel,Arrowhead,arrowhead,3,https://buddy.farm/i/arrowhead/,https://buddy.farm/page-data/i/arrowhead/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Swine,swine,Axe,axe,3,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Shark,shark,Barnacle Shell,barnacle shell,1,https://buddy.farm/i/barnacle-shell/,https://buddy.farm/page-data/i/barnacle-shell/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Penguin,penguin,Barracuda,barracuda,3,https://buddy.farm/i/barracuda/,https://buddy.farm/page-data/i/barracuda/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Capybara,capybara,Beet,beet,1,https://buddy.farm/i/beet/,https://buddy.farm/page-data/i/beet/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Owl,owl,Bird Egg,bird egg,3,https://buddy.farm/i/bird-egg/,https://buddy.farm/page-data/i/bird-egg/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Wolf,wolf,Bitten Apple,bitten apple,1,https://buddy.farm/i/bitten-apple/,https://buddy.farm/page-data/i/bitten-apple/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Cat,cat,Blue Catfish,blue catfish,3,https://buddy.farm/i/blue-catfish/,https://buddy.farm/page-data/i/blue-catfish/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Bird,bird,Blue Dye,blue dye,3,https://buddy.farm/i/blue-dye/,https://buddy.farm/page-data/i/blue-dye/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Wolf,wolf,Blue Feathers,blue feathers,3,https://buddy.farm/i/blue-feathers/,https://buddy.farm/page-data/i/blue-feathers/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Cat,cat,Blue Feathers,blue feathers,3,https://buddy.farm/i/blue-feathers/,https://buddy.farm/page-data/i/blue-feathers/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Hummingbird,hummingbird,Blue Flowers,blue flowers,3,https://buddy.farm/i/blue-flowers/,https://buddy.farm/page-data/i/blue-flowers/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
Seal,seal,Blue Gel,blue gel,6,https://buddy.farm/i/blue-gel/,https://buddy.farm/page-data/i/blue-gel/page-data.json,candidate,Candidate from cached Buddy page-data; review before canonical promotion.,,buddy-item-multi-source-v1
