output_canonical_key,output_item_name,input_order,input_item_name,input_canonical_key,quantity,source_url,page_data_url,cache_file_name,parser_version,flags,notes
acorn butter,Acorn Butter,1,Acorn,acorn,75,https://buddy.farm/i/acorn-butter/,https://buddy.farm/page-data/i/acorn-butter/page-data.json,acorn-butter__acorn-butter.json,buddy-item-multi-source-v1,,
acorn butter,Acorn Butter,2,Glass Bottle,glass bottle,1,https://buddy.farm/i/acorn-butter/,https://buddy.farm/page-data/i/acorn-butter/page-data.json,acorn-butter__acorn-butter.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,1,Brown Sugar,brown sugar,5,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,2,Molasses,molasses,7,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,3,Acorn,acorn,400,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,4,Coal,coal,1500,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,5,Salt,salt,10,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,6,Butter,butter,25,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,7,Pie Pan,pie pan,1,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
acorn pie,Acorn Pie,8,Flour,flour,25,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,acorn-pie__acorn-pie.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,1,Mushroom Paste,mushroom paste,1,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,2,Iron Ring,iron ring,2,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,3,Bone,bone,1,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,4,Amber,amber,1,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,5,Oak,oak,1,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amber cane,Amber Cane,6,Sand,sand,3,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,amber-cane__amber-cane.json,buddy-item-multi-source-v1,,
amethyst necklace,Amethyst Necklace,1,Iron Ring,iron ring,2,https://buddy.farm/i/amethyst-necklace/,https://buddy.farm/page-data/i/amethyst-necklace/page-data.json,amethyst-necklace__amethyst-necklace.json,buddy-item-multi-source-v1,,
amethyst necklace,Amethyst Necklace,2,Amethyst,amethyst,1,https://buddy.farm/i/amethyst-necklace/,https://buddy.farm/page-data/i/amethyst-necklace/page-data.json,amethyst-necklace__amethyst-necklace.json,buddy-item-multi-source-v1,,
apple cider,Apple Cider,1,Apple,apple,40,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
apple cider,Apple Cider,2,Glass Bottle,glass bottle,1,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
apple cider,Apple Cider,3,Orange,orange,1,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
aquacite,Aquacite,1,Unpolished Aquacite,unpolished aquacite,2,https://buddy.farm/i/aquacite/,https://buddy.farm/page-data/i/aquacite/page-data.json,aquacite__aquacite.json,buddy-item-multi-source-v1,,
aquamarine ring,Aquamarine Ring,1,Aquamarine,aquamarine,1,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,buddy-item-multi-source-v1,,
aquamarine ring,Aquamarine Ring,2,Mushroom Paste,mushroom paste,1,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,buddy-item-multi-source-v1,,
aquamarine ring,Aquamarine Ring,3,Iron Ring,iron ring,1,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,buddy-item-multi-source-v1,,
arnold palmer,Arnold Palmer,1,Lemonade,lemonade,20,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
