output_item_name,output_canonical_key,recipe_type,recipe_book_item_name,recipe_book_canonical_key,cooking_level,base_time,source_url,page_data_url,cache_file_name,parser_version,flags,notes
Acorn Butter,acorn butter,craft,,,,,https://buddy.farm/i/acorn-butter/,https://buddy.farm/page-data/i/acorn-butter/page-data.json,,buddy-item-multi-source-v1,,
Acorn Pie,acorn pie,cooking,George's Acorn Pie,george s acorn pie,50,,https://buddy.farm/i/acorn-pie/,https://buddy.farm/page-data/i/acorn-pie/page-data.json,,buddy-item-multi-source-v1,,
Amber Cane,amber cane,craft,,,,,https://buddy.farm/i/amber-cane/,https://buddy.farm/page-data/i/amber-cane/page-data.json,,buddy-item-multi-source-v1,,
Amethyst Necklace,amethyst necklace,craft,,,,,https://buddy.farm/i/amethyst-necklace/,https://buddy.farm/page-data/i/amethyst-necklace/page-data.json,,buddy-item-multi-source-v1,,
Apple Cider,apple cider,craft,,,,,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,,buddy-item-multi-source-v1,,
Aquacite,aquacite,craft,,,,,https://buddy.farm/i/aquacite/,https://buddy.farm/page-data/i/aquacite/page-data.json,,buddy-item-multi-source-v1,,
Aquamarine Ring,aquamarine ring,craft,,,,,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,,buddy-item-multi-source-v1,,
Arnold Palmer,arnold palmer,craft,,,,,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,,buddy-item-multi-source-v1,,
Awl,awl,craft,,,,,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,,buddy-item-multi-source-v1,,
Axe,axe,craft,,,,,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,,buddy-item-multi-source-v1,,
Bamboo Chair,bamboo chair,craft,,,,,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,,buddy-item-multi-source-v1,,
Bamboo Fence,bamboo fence,craft,,,,,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,,buddy-item-multi-source-v1,,
Bamboo Flute,bamboo flute,craft,,,,,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,,buddy-item-multi-source-v1,,
Bamboo Rope,bamboo rope,craft,,,,,https://buddy.farm/i/bamboo-rope/,https://buddy.farm/page-data/i/bamboo-rope/page-data.json,,buddy-item-multi-source-v1,,
Bamboo Trellis,bamboo trellis,craft,,,,,https://buddy.farm/i/bamboo-trellis/,https://buddy.farm/page-data/i/bamboo-trellis/page-data.json,,buddy-item-multi-source-v1,,
Barbed Wire,barbed wire,craft,,,,,https://buddy.farm/i/barbed-wire/,https://buddy.farm/page-data/i/barbed-wire/page-data.json,,buddy-item-multi-source-v1,,
Basic Pillow,basic pillow,craft,,,,,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,,buddy-item-multi-source-v1,,
Belt Drive,belt drive,craft,,,,,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,,buddy-item-multi-source-v1,,
Black Bag,black bag,craft,,,,,https://buddy.farm/i/black-bag/,https://buddy.farm/page-data/i/black-bag/page-data.json,,buddy-item-multi-source-v1,,
Black Cloak,black cloak,craft,,,,,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,,buddy-item-multi-source-v1,,
Black Dye,black dye,craft,,,,,https://buddy.farm/i/black-dye/,https://buddy.farm/page-data/i/black-dye/page-data.json,,buddy-item-multi-source-v1,,
Black Powder,black powder,craft,,,,,https://buddy.farm/i/black-powder/,https://buddy.farm/page-data/i/black-powder/page-data.json,,buddy-item-multi-source-v1,,
Black Purse,black purse,craft,,,,,https://buddy.farm/i/black-purse/,https://buddy.farm/page-data/i/black-purse/page-data.json,,buddy-item-multi-source-v1,,
Black Scarf,black scarf,craft,,,,,https://buddy.farm/i/black-scarf/,https://buddy.farm/page-data/i/black-scarf/page-data.json,,buddy-item-multi-source-v1,,
Black Shield,black shield,craft,,,,,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,,buddy-item-multi-source-v1,,
Black Shirt,black shirt,craft,,,,,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,,buddy-item-multi-source-v1,,
Black Twine,black twine,craft,,,,,https://buddy.farm/i/black-twine/,https://buddy.farm/page-data/i/black-twine/page-data.json,,buddy-item-multi-source-v1,,
