source_type,item_name,canonical_key,source_name,source_canonical_key,detail,source_url,page_data_url,cache_file_name,parser_version,flags,notes
openable_reverse,3-leaf Clover,3 leaf clover,Spring Basket 01,spring basket 01,10-10,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,3-leaf Clover,3 leaf clover,Spring Basket 03,spring basket 03,200-200,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,3-leaf Clover,3 leaf clover,Green Backpack,green backpack,100-100,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,3-leaf Clover,3 leaf clover,Christmas Present 04,christmas present 04,40-40,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,3-leaf Clover,3 leaf clover,Grab Bag 01,grab bag 01,10-50,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,3-leaf Clover,3 leaf clover,Spring Basket 02,spring basket 02,100-100,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,4-leaf Clover,4 leaf clover,Spring Basket 03,spring basket 03,50-50,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,4-leaf Clover,4 leaf clover,Spring Basket 01,spring basket 01,3-3,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,4-leaf Clover,4 leaf clover,Spring Basket 02,spring basket 02,10-10,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
openable_reverse,4-leaf Clover,4 leaf clover,Green Backpack,green backpack,10-10,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,,buddy-item-multi-source-v1,,
