input_item_name,input_canonical_key,output_item_name,output_canonical_key,quantity,output_can_craft,output_can_cook,source_url,page_data_url,cache_file_name,parser_version,flags,notes
3-leaf Clover,3 leaf clover,Crown of Clover,crown of clover,20,true,false,https://buddy.farm/i/3-leaf-clover/,https://buddy.farm/page-data/i/3-leaf-clover/page-data.json,3-leaf-clover__3-leaf-clover.json,buddy-item-multi-source-v1,,
4-leaf Clover,4 leaf clover,Crown of Clover,crown of clover,2,true,false,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1,,
Acorn,acorn,Acorn Pie,acorn pie,400,false,true,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,acorn__acorn.json,buddy-item-multi-source-v1,,
Acorn,acorn,Acorn Butter,acorn butter,75,true,false,https://buddy.farm/i/acorn/,https://buddy.farm/page-data/i/acorn/page-data.json,acorn__acorn.json,buddy-item-multi-source-v1,,
Amber,amber,Amber Cane,amber cane,1,true,false,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,amber__amber.json,buddy-item-multi-source-v1,,
Amber Mire Bloom,amber mire bloom,Orange Dye,orange dye,4,true,false,https://buddy.farm/i/amber-mire-bloom/,https://buddy.farm/page-data/i/amber-mire-bloom/page-data.json,amber-mire-bloom__amber-mire-bloom.json,buddy-item-multi-source-v1,,
Amethyst,amethyst,Amethyst Necklace,amethyst necklace,1,true,false,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,amethyst__amethyst.json,buddy-item-multi-source-v1,,
Amethyst,amethyst,Linked Lantern,linked lantern,1,true,false,https://buddy.farm/i/amethyst/,https://buddy.farm/page-data/i/amethyst/page-data.json,amethyst__amethyst.json,buddy-item-multi-source-v1,,
Antler,antler,Fishing Net,fishing net,1,true,false,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,buddy-item-multi-source-v1,,
Apple,apple,Fruit Punch,fruit punch,25,true,false,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
Apple,apple,Apple Cider,apple cider,40,true,false,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
Aquamarine,aquamarine,Aquamarine Ring,aquamarine ring,1,true,false,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
Aquamarine,aquamarine,Compass,compass,1,true,false,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
Aquamarine,aquamarine,Mystic Ring,mystic ring,1,true,false,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
Aquamarine,aquamarine,Gold Aquamarine Ring,gold aquamarine ring,1,true,false,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
Aquamarine,aquamarine,Linked Lantern,linked lantern,1,true,false,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
Arrowhead,arrowhead,Crossbow,crossbow,1,true,false,https://buddy.farm/i/arrowhead/,https://buddy.farm/page-data/i/arrowhead/page-data.json,arrowhead__arrowhead.json,buddy-item-multi-source-v1,,
