thrown_item_name,thrown_canonical_key,reward_item_name,reward_canonical_key,reward_chance,reward_quantity,evidence,notes,source_url,page_data_url,cache_file_name,parser_version,flags
4-leaf Clover,4 leaf clover,Wooden Mask,wooden mask,0.3333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1,reward_quantity_defaulted
4-leaf Clover,4 leaf clover,MIAB,miab,0.3333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1,reward_quantity_defaulted
4-leaf Clover,4 leaf clover,Small Flute,small flute,0.3333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/4-leaf-clover/,https://buddy.farm/page-data/i/4-leaf-clover/page-data.json,4-leaf-clover__4-leaf-clover.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Eye Patch,eye patch,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Shiny Beetle,shiny beetle,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Snail,snail,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Captains Log,captains log,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Small Screw,small screw,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Octopus,octopus,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
Ancient Coin,ancient coin,Wax Candle,wax candle,0.08333333333333333,1,thrown_to_reward,Candidate from cached Buddy page-data; review before canonical promotion. Buddy page data exposes reward chance but not reward quantity; candidate export defaults quantity to 1 for review.,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,reward_quantity_defaulted
