normalized_key,primary_name,observed_names,match_status,occurrence_count,roles,match_candidate_count,matched_item_name,matched_category,matched_museum_category,matched_obtainable,notes
10 gold,10 Gold,10 Gold,matched,1,page_item,1,10 Gold,Item,Items,Y,
100 gold,100 Gold,100 Gold,matched,1,page_item,1,100 Gold,Item,Items,Y,
11th leaf centerpiece,11th Leaf Centerpiece,11th Leaf Centerpiece,matched,1,page_item,1,11th Leaf Centerpiece,Event,Event,Y,
25 gold,25 Gold,25 Gold,matched,1,page_item,1,25 Gold,Item,Items,Y,
3-leaf clover,3-leaf Clover,3-leaf Clover,matched,3,ingredient; page_item,1,3-leaf Clover,Item,Items,Y,
crown of clover,Crown of Clover,Crown of Clover,matched,4,page_item; used_in_target,1,Crown of Clover,Item,Items,Y,
shamrock milk,Shamrock Milk,Shamrock Milk,matched,5,page_item; used_in_target,1,Shamrock Milk,Event,Event,Y,
3rd birthday card,3rd Birthday Card,3rd Birthday Card,matched,1,page_item,1,3rd Birthday Card,Card,Cards,Y,
4-leaf clover,4-leaf Clover,4-leaf Clover,matched,4,ingredient; page_item,1,4-leaf Clover,Item,Items,Y,
green top hat,Green Top Hat,Green Top Hat,matched,7,page_item; used_in_target,1,Green Top Hat,Event,Event,Y,
4th birthday card,4th Birthday Card,4th Birthday Card,matched,1,page_item,1,4th Birthday Card,Card,Cards,Y,
5 gold,5 Gold,5 Gold,matched,1,page_item,1,5 Gold,Item,Items,Y,
50 gold,50 Gold,50 Gold,matched,1,page_item,1,50 Gold,Item,Items,Y,
acorn,Acorn,Acorn,matched,3,ingredient; page_item,1,Acorn,Item,Items,Y,
acorn butter,Acorn Butter,Acorn Butter,matched,3,page_item; used_in_target,1,Acorn Butter,Item,Items,Y,
glass bottle,Glass Bottle,Glass Bottle,matched,29,ingredient; page_item; used_in_target,1,Glass Bottle,Item,Items,Y,
acorn pie,Acorn Pie,Acorn Pie,matched,1,page_item,1,Acorn Pie,Meal,Meals,Y,
george's acorn pie,George's Acorn Pie,George's Acorn Pie,matched,2,page_item; recipe_book,1,George's Acorn Pie,Item,Items,Y,
coal,Coal,Coal,matched,19,ingredient; page_item,1,Coal,Item,Items,Y,
butter,Butter,Butter,matched,9,ingredient; page_item; used_in_target,1,Butter,Item,Items,Y,
flour,Flour,Flour,matched,5,ingredient; page_item,1,Flour,Item,Items,Y,
salt,Salt,Salt,matched,13,ingredient; page_item; used_in_target,1,Salt,Item,Items,Y,
molasses,Molasses,Molasses,matched,2,ingredient; page_item,1,Molasses,Item,Items,Y,
brown sugar,Brown Sugar,Brown Sugar,matched,2,ingredient; page_item,1,Brown Sugar,Item,Items,Y,
pie pan,Pie Pan,Pie Pan,matched,7,ingredient; page_item; used_in_target,1,Pie Pan,Item,Items,Y,
adventure buddy doll,Adventure Buddy Doll,Adventure Buddy Doll,matched,1,page_item,1,Adventure Buddy Doll,Item,Items,Y,
amber,Amber,Amber,matched,2,ingredient; page_item,1,Amber,Item,Items,Y,
amber cane,Amber Cane,Amber Cane,matched,7,page_item; used_in_target,1,Amber Cane,Item,Items,Y,
bone,Bone,Bone,matched,6,ingredient; page_item,1,Bone,Item,Items,Y,
iron ring,Iron Ring,Iron Ring,matched,29,ingredient; page_item; used_in_target,1,Iron Ring,Item,Items,Y,
mushroom paste,Mushroom Paste,Mushroom Paste,matched,39,ingredient; page_item; used_in_target,1,Mushroom Paste,Item,Items,Y,
oak,Oak,Oak,matched,16,ingredient; page_item,1,Oak,Item,Items,Y,
sand,Sand,Sand,matched,8,ingredient; page_item; used_in_target,1,Sand,Item,Items,Y,
amber mire bloom,Amber Mire Bloom,Amber Mire Bloom,matched,2,ingredient; page_item,1,Amber Mire Bloom,Item,Items,Y,
orange dye,Orange Dye,Orange Dye,matched,8,ingredient; page_item; used_in_target,1,Orange Dye,Item,Items,Y,
amethyst,Amethyst,Amethyst,matched,3,ingredient; page_item,1,Amethyst,Item,Items,Y,
amethyst necklace,Amethyst Necklace,Amethyst Necklace,matched,3,page_item; used_in_target,1,Amethyst Necklace,Item,Items,Y,
linked lantern,Linked Lantern,Linked Lantern,matched,6,page_item; used_in_target,1,Linked Lantern,Item,Items,Y,
anchor,Anchor,Anchor,matched,1,page_item,1,Anchor,Item,Items,Y,
ancient coin,Ancient Coin,Ancient Coin,matched,1,page_item,1,Ancient Coin,Item,Items,Y,
ancient stone cicada,Ancient Stone Cicada,Ancient Stone Cicada,matched,1,page_item,1,Ancient Stone Cicada,Event,Event,Y,
ancient treasure belt,Ancient Treasure Belt,Ancient Treasure Belt,matched,1,page_item,1,Ancient Treasure Belt,Item,Items,Y,
anglerfish,Anglerfish,Anglerfish,matched,1,page_item,1,Anglerfish,Fish,Fish,Y,
ant apple,Ant Apple,Ant Apple,matched,1,page_item,1,Ant Apple,Event,Event,Y,
antler,Antler,Antler,matched,2,ingredient; page_item,1,Antler,Item,Items,Y,
fishing net,Fishing Net,Fishing Net,matched,5,ingredient; page_item; used_in_target,1,Fishing Net,Item,Items,Y,
apple,Apple,Apple,matched,3,ingredient; page_item,1,Apple,Item,Items,Y,
fruit punch,Fruit Punch,Fruit Punch,matched,7,page_item; used_in_target,1,Fruit Punch,Item,Items,Y,
apple cider,Apple Cider,Apple Cider,matched,4,page_item; used_in_target,1,Apple Cider,Item,Items,Y,
apple ant,Apple Ant,Apple Ant,matched,1,page_item,1,Apple Ant,Event,Event,Y,
apple ant buddy doll,Apple Ant Buddy Doll,Apple Ant Buddy Doll,matched,1,page_item,1,Apple Ant Buddy Doll,Item,Items,Y,
apple basket,Apple Basket,Apple Basket,matched,1,page_item,1,Apple Basket,Item,Items,Y,
apple belt,Apple Belt,Apple Belt,matched,1,page_item,1,Apple Belt,Item,Items,Y,
apple buddy doll,Apple Buddy Doll,Apple Buddy Doll,matched,1,page_item,1,Apple Buddy Doll,Item,Items,Y,
orange,Orange,Orange,matched,4,ingredient; page_item,1,Orange,Item,Items,Y,
apple core,Apple Core,Apple Core,matched,1,page_item,1,Apple Core,Item,Items,Y,
apple crate 01,Apple Crate 01,Apple Crate 01,matched,1,page_item,1,Apple Crate 01,Item,Items,Y,
apple crate 02,Apple Crate 02,Apple Crate 02,matched,1,page_item,1,Apple Crate 02,Item,Items,Y,
apple picker,Apple Picker,Apple Picker,matched,1,page_item,1,Apple Picker,Item,Items,Y,
apple pie,Apple Pie,Apple Pie,matched,1,page_item,1,Apple Pie,Meal,Meals,Y,
apple slice,Apple Slice,Apple Slice,matched,1,page_item,1,Apple Slice,Item,Items,Y,
apple slicer,Apple Slicer,Apple Slicer,matched,1,page_item,1,Apple Slicer,Item,Items,Y,
apple turnover,Apple Turnover,Apple Turnover,matched,1,page_item,1,Apple Turnover,Item,Items,Y,
aquacite,Aquacite,Aquacite,matched,2,page_item; used_in_target,1,Aquacite,Item,Items,Y,
unpolished aquacite,Unpolished Aquacite,Unpolished Aquacite,matched,2,ingredient; page_item,1,Unpolished Aquacite,Item,Items,Y,
aquamarine,Aquamarine,Aquamarine,matched,6,ingredient; page_item,1,Aquamarine,Item,Items,Y,
aquamarine ring,Aquamarine Ring,Aquamarine Ring,matched,4,page_item; used_in_target,1,Aquamarine Ring,Item,Items,Y,
compass,Compass,Compass,matched,10,ingredient; page_item; used_in_target,1,Compass,Item,Items,Y,
mystic ring,Mystic Ring,Mystic Ring,matched,6,page_item; used_in_target,1,Mystic Ring,Item,Items,Y,
gold aquamarine ring,Gold Aquamarine Ring,Gold Aquamarine Ring,matched,4,page_item; used_in_target,1,Gold Aquamarine Ring,Item,Items,Y,
arnold palmer,Arnold Palmer,Arnold Palmer,matched,3,page_item; used_in_target,1,Arnold Palmer,Item,Items,Y,
lemonade,Lemonade,Lemonade,matched,4,ingredient; page_item; used_in_target,1,Lemonade,Item,Items,Y,
iced tea,Iced Tea,Iced Tea,matched,4,ingredient; page_item; used_in_target,1,Iced Tea,Item,Items,Y,
arrowhead,Arrowhead,Arrowhead,matched,3,ingredient; page_item,1,Arrowhead,Item,Items,Y,
