item_name,candidate_buddy_url,generated_buddy_slug,extraction_status,recipe_type,http_status,ingredient_count,used_in_count,cooking_level,base_time,flags,notes
Cecil's Shrimp-a-Plenty,https://buddy.farm/i/cecil-s-shrimp-a-plenty/,cecil-s-shrimp-a-plenty,no_recipe,,200,0,0,,,,
Fancy Pipe,https://buddy.farm/i/fancy-pipe/,fancy-pipe,recipe_found,craft,200,3,0,,,,
Fancy Violin,https://buddy.farm/i/fancy-violin/,fancy-violin,recipe_found,craft,200,7,0,,,,
Heart-shaped Gem,https://buddy.farm/i/heart-shaped-gem/,heart-shaped-gem,no_recipe,,200,0,0,,,,
Piñata Whop Stick,https://buddy.farm/i/pi-ata-whop-stick/,pi-ata-whop-stick,no_recipe,,200,0,0,,,,
Quandary Chowder,https://buddy.farm/i/quandary-chowder/,quandary-chowder,recipe_found,cooking,200,12,0,25,4h,,
Red Twine,https://buddy.farm/i/red-twine/,red-twine,recipe_found,craft,200,2,2,,,,
Salt Rock,https://buddy.farm/i/salt-rock/,salt-rock,no_recipe,,200,0,1,,,,
Wood,https://buddy.farm/i/wood/,wood,no_recipe,,200,0,20,,,,
Yellow Shirt,https://buddy.farm/i/yellow-shirt/,yellow-shirt,recipe_found,craft,200,3,0,,,,
