output_item_name,output_buddy_url,recipe_type,ingredient_item_name,ingredient_buddy_url,quantity
Acorn Butter,https://buddy.farm/i/acorn-butter/,craft,Acorn,https://buddy.farm/i/acorn/,75
Acorn Butter,https://buddy.farm/i/acorn-butter/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Coal,https://buddy.farm/i/coal/,1500
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Acorn,https://buddy.farm/i/acorn/,400
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Butter,https://buddy.farm/i/butter/,25
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Flour,https://buddy.farm/i/flour/,25
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Salt,https://buddy.farm/i/salt/,10
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Molasses,https://buddy.farm/i/molasses/,7
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Brown Sugar,https://buddy.farm/i/brown-sugar/,5
Acorn Pie,https://buddy.farm/i/acorn-pie/,cooking,Pie Pan,https://buddy.farm/i/pie-pan/,1
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Bone,https://buddy.farm/i/bone/,1
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,2
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Oak,https://buddy.farm/i/oak/,1
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Sand,https://buddy.farm/i/sand/,3
Amber Cane,https://buddy.farm/i/amber-cane/,craft,Amber,https://buddy.farm/i/amber/,1
Amethyst Necklace,https://buddy.farm/i/amethyst-necklace/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,2
Amethyst Necklace,https://buddy.farm/i/amethyst-necklace/,craft,Amethyst,https://buddy.farm/i/amethyst/,1
Apple Cider,https://buddy.farm/i/apple-cider/,craft,Apple,https://buddy.farm/i/apple/,40
Apple Cider,https://buddy.farm/i/apple-cider/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Apple Cider,https://buddy.farm/i/apple-cider/,craft,Orange,https://buddy.farm/i/orange/,1
Aquacite,https://buddy.farm/i/aquacite/,craft,Unpolished Aquacite,https://buddy.farm/i/unpolished-aquacite/,2
Aquamarine Ring,https://buddy.farm/i/aquamarine-ring/,craft,Aquamarine,https://buddy.farm/i/aquamarine/,1
Aquamarine Ring,https://buddy.farm/i/aquamarine-ring/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Aquamarine Ring,https://buddy.farm/i/aquamarine-ring/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,1
Arnold Palmer,https://buddy.farm/i/arnold-palmer/,craft,Lemonade,https://buddy.farm/i/lemonade/,20
Arnold Palmer,https://buddy.farm/i/arnold-palmer/,craft,Iced Tea,https://buddy.farm/i/iced-tea/,1
Awl,https://buddy.farm/i/awl/,craft,Iron,https://buddy.farm/i/iron/,1
Awl,https://buddy.farm/i/awl/,craft,Wood,https://buddy.farm/i/wood/,1
Awl,https://buddy.farm/i/awl/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,2
Axe,https://buddy.farm/i/axe/,craft,Iron,https://buddy.farm/i/iron/,1
Axe,https://buddy.farm/i/axe/,craft,Nails,https://buddy.farm/i/nails/,2
Axe,https://buddy.farm/i/axe/,craft,Board,https://buddy.farm/i/board/,1
Axe,https://buddy.farm/i/axe/,craft,Stone,https://buddy.farm/i/stone/,1
Axe,https://buddy.farm/i/axe/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Bamboo Chair,https://buddy.farm/i/bamboo-chair/,craft,Twine,https://buddy.farm/i/twine/,15
Bamboo Chair,https://buddy.farm/i/bamboo-chair/,craft,Bamboo,https://buddy.farm/i/bamboo/,30
Bamboo Chair,https://buddy.farm/i/bamboo-chair/,craft,Basic Pillow,https://buddy.farm/i/basic-pillow/,1
Bamboo Fence,https://buddy.farm/i/bamboo-fence/,craft,Board,https://buddy.farm/i/board/,10
Bamboo Fence,https://buddy.farm/i/bamboo-fence/,craft,Twine,https://buddy.farm/i/twine/,10
Bamboo Fence,https://buddy.farm/i/bamboo-fence/,craft,Bamboo,https://buddy.farm/i/bamboo/,35
Bamboo Flute,https://buddy.farm/i/bamboo-flute/,craft,Steel Wire,https://buddy.farm/i/steel-wire/,1
Bamboo Flute,https://buddy.farm/i/bamboo-flute/,craft,Awl,https://buddy.farm/i/awl/,1
Bamboo Flute,https://buddy.farm/i/bamboo-flute/,craft,Bamboo,https://buddy.farm/i/bamboo/,2
Bamboo Rope,https://buddy.farm/i/bamboo-rope/,craft,Bamboo,https://buddy.farm/i/bamboo/,4
Bamboo Trellis,https://buddy.farm/i/bamboo-trellis/,craft,Twine,https://buddy.farm/i/twine/,10
Bamboo Trellis,https://buddy.farm/i/bamboo-trellis/,craft,Bamboo,https://buddy.farm/i/bamboo/,20
Barbed Wire,https://buddy.farm/i/barbed-wire/,craft,Thorns,https://buddy.farm/i/thorns/,5
Barbed Wire,https://buddy.farm/i/barbed-wire/,craft,Steel Wire,https://buddy.farm/i/steel-wire/,1
Basic Pillow,https://buddy.farm/i/basic-pillow/,craft,Feathers,https://buddy.farm/i/feathers/,25
Basic Pillow,https://buddy.farm/i/basic-pillow/,craft,Twine,https://buddy.farm/i/twine/,2
Basic Pillow,https://buddy.farm/i/basic-pillow/,craft,Cloth,https://buddy.farm/i/cloth/,2
Belt Drive,https://buddy.farm/i/belt-drive/,craft,Purple Dye,https://buddy.farm/i/purple-dye/,1
Belt Drive,https://buddy.farm/i/belt-drive/,craft,Rope,https://buddy.farm/i/rope/,1
Belt Drive,https://buddy.farm/i/belt-drive/,craft,Pulley,https://buddy.farm/i/pulley/,2
Black Bag,https://buddy.farm/i/black-bag/,craft,Leather Bag,https://buddy.farm/i/leather-bag/,1
Black Bag,https://buddy.farm/i/black-bag/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Black Cloak,https://buddy.farm/i/black-cloak/,craft,Leather,https://buddy.farm/i/leather/,5
Black Cloak,https://buddy.farm/i/black-cloak/,craft,Cotton,https://buddy.farm/i/cotton/,1
Black Cloak,https://buddy.farm/i/black-cloak/,craft,Black Twine,https://buddy.farm/i/black-twine/,10
Black Cloak,https://buddy.farm/i/black-cloak/,craft,Black Dye,https://buddy.farm/i/black-dye/,10
Black Dye,https://buddy.farm/i/black-dye/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Black Dye,https://buddy.farm/i/black-dye/,craft,Shadow Bloom,https://buddy.farm/i/shadow-bloom/,3
Black Powder,https://buddy.farm/i/black-powder/,craft,Coal,https://buddy.farm/i/coal/,3
Black Purse,https://buddy.farm/i/black-purse/,craft,Coin Purse,https://buddy.farm/i/coin-purse/,1
Black Purse,https://buddy.farm/i/black-purse/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Black Scarf,https://buddy.farm/i/black-scarf/,craft,Yarn,https://buddy.farm/i/yarn/,2
Black Scarf,https://buddy.farm/i/black-scarf/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Black Shield,https://buddy.farm/i/black-shield/,craft,Steel,https://buddy.farm/i/steel/,3
