item_name,candidate_buddy_url,generated_buddy_slug,extraction_status,recipe_type,http_status,page_title,recipe_book_item,cooking_level,base_time,ingredient_count,used_in_count,flags,notes
10 Gold,https://buddy.farm/i/10-gold/,10-gold,no_recipe,,200,10 Gold,,,,0,0,,
100 Gold,https://buddy.farm/i/100-gold/,100-gold,no_recipe,,200,100 Gold,,,,0,0,,
11th Leaf Centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th-leaf-centerpiece,no_recipe,,200,11th Leaf Centerpiece,,,,0,0,,
25 Gold,https://buddy.farm/i/25-gold/,25-gold,no_recipe,,200,25 Gold,,,,0,0,,
3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,3-leaf-clover,no_recipe,,200,3-leaf Clover,,,,0,2,,
3rd Birthday Card,https://buddy.farm/i/3rd-birthday-card/,3rd-birthday-card,no_recipe,,200,3rd Birthday Card,,,,0,0,,
4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,4-leaf-clover,no_recipe,,200,4-leaf Clover,,,,0,3,,
4th Birthday Card,https://buddy.farm/i/4th-birthday-card/,4th-birthday-card,no_recipe,,200,4th Birthday Card,,,,0,0,,
5 Gold,https://buddy.farm/i/5-gold/,5-gold,no_recipe,,200,5 Gold,,,,0,0,,
50 Gold,https://buddy.farm/i/50-gold/,50-gold,no_recipe,,200,50 Gold,,,,0,0,,
Acorn,https://buddy.farm/i/acorn/,acorn,no_recipe,,200,Acorn,,,,0,1,,
Acorn Butter,https://buddy.farm/i/acorn-butter/,acorn-butter,recipe_found,craft,200,Acorn Butter,,,,2,0,,
Acorn Pie,https://buddy.farm/i/acorn-pie/,acorn-pie,recipe_found,cooking,200,Acorn Pie,George's Acorn Pie,50,24h,8,0,,
Adventure Buddy Doll,https://buddy.farm/i/adventure-buddy-doll/,adventure-buddy-doll,no_recipe,,200,Adventure Buddy Doll,,,,0,0,,
Amber,https://buddy.farm/i/amber/,amber,no_recipe,,200,Amber,,,,0,1,,
Amber Cane,https://buddy.farm/i/amber-cane/,amber-cane,recipe_found,craft,200,Amber Cane,,,,6,0,,
Amber Mire Bloom,https://buddy.farm/i/amber-mire-bloom/,amber-mire-bloom,no_recipe,,200,Amber Mire Bloom,,,,0,1,,
Amethyst,https://buddy.farm/i/amethyst/,amethyst,no_recipe,,200,Amethyst,,,,0,2,,
Amethyst Necklace,https://buddy.farm/i/amethyst-necklace/,amethyst-necklace,recipe_found,craft,200,Amethyst Necklace,,,,2,0,,
