item_name,candidate_buddy_url,generated_buddy_slug,extraction_status,recipe_type,http_status,ingredient_count,used_in_count,cooking_level,base_time,flags,notes
10 Gold,https://buddy.farm/i/10-gold/,10-gold,no_recipe,,200,0,0,,,,
100 Gold,https://buddy.farm/i/100-gold/,100-gold,no_recipe,,200,0,0,,,,
11th Leaf Centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th-leaf-centerpiece,no_recipe,,200,0,0,,,,
25 Gold,https://buddy.farm/i/25-gold/,25-gold,no_recipe,,200,0,0,,,,
3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,3-leaf-clover,no_recipe,,200,0,2,,,,
3rd Birthday Card,https://buddy.farm/i/3rd-birthday-card/,3rd-birthday-card,no_recipe,,200,0,0,,,,
4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,4-leaf-clover,no_recipe,,200,0,3,,,,
4th Birthday Card,https://buddy.farm/i/4th-birthday-card/,4th-birthday-card,no_recipe,,200,0,0,,,,
5 Gold,https://buddy.farm/i/5-gold/,5-gold,no_recipe,,200,0,0,,,,
50 Gold,https://buddy.farm/i/50-gold/,50-gold,no_recipe,,200,0,0,,,,
Acorn,https://buddy.farm/i/acorn/,acorn,no_recipe,,200,0,1,,,,
Acorn Butter,https://buddy.farm/i/acorn-butter/,acorn-butter,recipe_found,craft,200,2,0,,,,
Acorn Pie,https://buddy.farm/i/acorn-pie/,acorn-pie,recipe_found,cooking,200,8,0,50,24h,,
Adventure Buddy Doll,https://buddy.farm/i/adventure-buddy-doll/,adventure-buddy-doll,no_recipe,,200,0,0,,,,
Amber,https://buddy.farm/i/amber/,amber,no_recipe,,200,0,1,,,,
Amber Cane,https://buddy.farm/i/amber-cane/,amber-cane,recipe_found,craft,200,6,0,,,,
Amber Mire Bloom,https://buddy.farm/i/amber-mire-bloom/,amber-mire-bloom,no_recipe,,200,0,1,,,,
Amethyst,https://buddy.farm/i/amethyst/,amethyst,no_recipe,,200,0,2,,,,
Amethyst Necklace,https://buddy.farm/i/amethyst-necklace/,amethyst-necklace,recipe_found,craft,200,2,0,,,,
Anchor,https://buddy.farm/i/anchor/,anchor,no_recipe,,200,0,0,,,,
Ancient Coin,https://buddy.farm/i/ancient-coin/,ancient-coin,no_recipe,,200,0,0,,,,
Ancient Stone Cicada,https://buddy.farm/i/ancient-stone-cicada/,ancient-stone-cicada,no_recipe,,200,0,0,,,,
Ancient Treasure Belt,https://buddy.farm/i/ancient-treasure-belt/,ancient-treasure-belt,no_recipe,,200,0,0,,,,
Anglerfish,https://buddy.farm/i/anglerfish/,anglerfish,no_recipe,,200,0,0,,,,
Ant Apple,https://buddy.farm/i/ant-apple/,ant-apple,no_recipe,,200,0,0,,,,
Antler,https://buddy.farm/i/antler/,antler,no_recipe,,200,0,1,,,,
Apple,https://buddy.farm/i/apple/,apple,no_recipe,,200,0,2,,,,
Apple Ant,https://buddy.farm/i/apple-ant/,apple-ant,no_recipe,,200,0,0,,,,
Apple Ant Buddy Doll,https://buddy.farm/i/apple-ant-buddy-doll/,apple-ant-buddy-doll,no_recipe,,200,0,0,,,,
Apple Basket,https://buddy.farm/i/apple-basket/,apple-basket,no_recipe,,200,0,0,,,,
Apple Belt,https://buddy.farm/i/apple-belt/,apple-belt,no_recipe,,200,0,0,,,,
Apple Buddy Doll,https://buddy.farm/i/apple-buddy-doll/,apple-buddy-doll,no_recipe,,200,0,0,,,,
Apple Cider,https://buddy.farm/i/apple-cider/,apple-cider,recipe_found,craft,200,3,0,,,,
Apple Core,https://buddy.farm/i/apple-core/,apple-core,no_recipe,,200,0,0,,,,
Apple Crate 01,https://buddy.farm/i/apple-crate-01/,apple-crate-01,no_recipe,,200,0,0,,,,
Apple Crate 02,https://buddy.farm/i/apple-crate-02/,apple-crate-02,no_recipe,,200,0,0,,,,
Apple Picker,https://buddy.farm/i/apple-picker/,apple-picker,no_recipe,,200,0,0,,,,
Apple Pie,https://buddy.farm/i/apple-pie/,apple-pie,no_recipe,,200,0,0,,,,
Apple Slice,https://buddy.farm/i/apple-slice/,apple-slice,no_recipe,,200,0,0,,,,
Apple Slicer,https://buddy.farm/i/apple-slicer/,apple-slicer,no_recipe,,200,0,0,,,,
Apple Turnover,https://buddy.farm/i/apple-turnover/,apple-turnover,no_recipe,,200,0,0,,,,
Aquacite,https://buddy.farm/i/aquacite/,aquacite,recipe_found,craft,200,1,0,,,,
Aquamarine,https://buddy.farm/i/aquamarine/,aquamarine,no_recipe,,200,0,5,,,,
Aquamarine Ring,https://buddy.farm/i/aquamarine-ring/,aquamarine-ring,recipe_found,craft,200,3,0,,,,
