item_name,item_buddy_url,used_in_item_name,used_in_buddy_url,quantity
3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,Crown of Clover,https://buddy.farm/i/crown-of-clover/,20
3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,Shamrock Milk,https://buddy.farm/i/shamrock-milk/,50
4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,Crown of Clover,https://buddy.farm/i/crown-of-clover/,2
4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,Shamrock Milk,https://buddy.farm/i/shamrock-milk/,10
4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,Green Top Hat,https://buddy.farm/i/green-top-hat/,4
Acorn,https://buddy.farm/i/acorn/,Acorn Butter,https://buddy.farm/i/acorn-butter/,75
Amber,https://buddy.farm/i/amber/,Amber Cane,https://buddy.farm/i/amber-cane/,1
Amber Mire Bloom,https://buddy.farm/i/amber-mire-bloom/,Orange Dye,https://buddy.farm/i/orange-dye/,4
Amethyst,https://buddy.farm/i/amethyst/,Amethyst Necklace,https://buddy.farm/i/amethyst-necklace/,1
Amethyst,https://buddy.farm/i/amethyst/,Linked Lantern,https://buddy.farm/i/linked-lantern/,1
Antler,https://buddy.farm/i/antler/,Fishing Net,https://buddy.farm/i/fishing-net/,1
Apple,https://buddy.farm/i/apple/,Fruit Punch,https://buddy.farm/i/fruit-punch/,25
Apple,https://buddy.farm/i/apple/,Apple Cider,https://buddy.farm/i/apple-cider/,40
Aquamarine,https://buddy.farm/i/aquamarine/,Aquamarine Ring,https://buddy.farm/i/aquamarine-ring/,1
Aquamarine,https://buddy.farm/i/aquamarine/,Linked Lantern,https://buddy.farm/i/linked-lantern/,1
Aquamarine,https://buddy.farm/i/aquamarine/,Compass,https://buddy.farm/i/compass/,1
Aquamarine,https://buddy.farm/i/aquamarine/,Mystic Ring,https://buddy.farm/i/mystic-ring/,1
Aquamarine,https://buddy.farm/i/aquamarine/,Gold Aquamarine Ring,https://buddy.farm/i/gold-aquamarine-ring/,1
Arrowhead,https://buddy.farm/i/arrowhead/,Crossbow,https://buddy.farm/i/crossbow/,1
Arrowhead,https://buddy.farm/i/arrowhead/,Wooden Spear,https://buddy.farm/i/wooden-spear/,1
Awl,https://buddy.farm/i/awl/,Bamboo Flute,https://buddy.farm/i/bamboo-flute/,1
Awl,https://buddy.farm/i/awl/,Rucksack,https://buddy.farm/i/rucksack/,2
Awl,https://buddy.farm/i/awl/,Handsaw,https://buddy.farm/i/handsaw/,1
Awl,https://buddy.farm/i/awl/,Leather Belt,https://buddy.farm/i/leather-belt/,1
Awl,https://buddy.farm/i/awl/,Wooden Button,https://buddy.farm/i/wooden-button/,1
Awl,https://buddy.farm/i/awl/,Sewing Needle,https://buddy.farm/i/sewing-needle/,1
Axe,https://buddy.farm/i/axe/,Tin Scraps,https://buddy.farm/i/tin-scraps/,1
Axe,https://buddy.farm/i/axe/,Block of Wood,https://buddy.farm/i/block-of-wood/,1
Axe,https://buddy.farm/i/axe/,Spoon,https://buddy.farm/i/spoon/,1
Bamboo,https://buddy.farm/i/bamboo/,Bamboo Rope,https://buddy.farm/i/bamboo-rope/,4
Bamboo,https://buddy.farm/i/bamboo/,Bamboo Flute,https://buddy.farm/i/bamboo-flute/,2
Bamboo,https://buddy.farm/i/bamboo/,Bamboo Fence,https://buddy.farm/i/bamboo-fence/,35
Bamboo,https://buddy.farm/i/bamboo/,Bamboo Trellis,https://buddy.farm/i/bamboo-trellis/,20
Bamboo,https://buddy.farm/i/bamboo/,Bamboo Chair,https://buddy.farm/i/bamboo-chair/,30
Basic Pillow,https://buddy.farm/i/basic-pillow/,Bamboo Chair,https://buddy.farm/i/bamboo-chair/,1
Beet,https://buddy.farm/i/beet/,Veggie Juice,https://buddy.farm/i/veggie-juice/,15
Belt Drive,https://buddy.farm/i/belt-drive/,Engine,https://buddy.farm/i/engine/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Twine,https://buddy.farm/i/black-twine/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Purse,https://buddy.farm/i/black-purse/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Bag,https://buddy.farm/i/black-bag/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Shield,https://buddy.farm/i/black-shield/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Scarf,https://buddy.farm/i/black-scarf/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Shirt,https://buddy.farm/i/black-shirt/,1
Black Dye,https://buddy.farm/i/black-dye/,Black Cloak,https://buddy.farm/i/black-cloak/,10
Black Powder,https://buddy.farm/i/black-powder/,Explosive,https://buddy.farm/i/explosive/,2
Black Powder,https://buddy.farm/i/black-powder/,Bottle Rocket,https://buddy.farm/i/bottle-rocket/,1
Black Powder,https://buddy.farm/i/black-powder/,Cannon,https://buddy.farm/i/cannon/,10
