item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,found,200,https://buddy.farm/i/10-gold/,10 Gold,1,,
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,found,200,https://buddy.farm/i/100-gold/,100 Gold,1,,
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,found,200,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,1,,
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,found,200,https://buddy.farm/i/25-gold/,25 Gold,1,,
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,found,200,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,found,200,https://buddy.farm/i/3rd-birthday-card/,3rd Birthday Card,1,,
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,found,200,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,found,200,https://buddy.farm/i/4th-birthday-card/,4th Birthday Card,1,,
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,found,200,https://buddy.farm/i/5-gold/,5 Gold,1,,
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,found,200,https://buddy.farm/i/50-gold/,50 Gold,1,,
Acorn,acorn,acorn,https://buddy.farm/i/acorn/,found,200,https://buddy.farm/i/acorn/,Acorn,1,,
Acorn Butter,acorn butter,acorn-butter,https://buddy.farm/i/acorn-butter/,found,200,https://buddy.farm/i/acorn-butter/,Acorn Butter,1,,
Acorn Pie,acorn pie,acorn-pie,https://buddy.farm/i/acorn-pie/,found,200,https://buddy.farm/i/acorn-pie/,Acorn Pie,1,,
Adventure Buddy Doll,adventure buddy doll,adventure-buddy-doll,https://buddy.farm/i/adventure-buddy-doll/,found,200,https://buddy.farm/i/adventure-buddy-doll/,Adventure Buddy Doll,1,,
Amber,amber,amber,https://buddy.farm/i/amber/,found,200,https://buddy.farm/i/amber/,Amber,1,,
Amber Cane,amber cane,amber-cane,https://buddy.farm/i/amber-cane/,found,200,https://buddy.farm/i/amber-cane/,Amber Cane,1,,
Amber Mire Bloom,amber mire bloom,amber-mire-bloom,https://buddy.farm/i/amber-mire-bloom/,found,200,https://buddy.farm/i/amber-mire-bloom/,Amber Mire Bloom,1,,
Amethyst,amethyst,amethyst,https://buddy.farm/i/amethyst/,found,200,https://buddy.farm/i/amethyst/,Amethyst,1,,
Amethyst Necklace,amethyst necklace,amethyst-necklace,https://buddy.farm/i/amethyst-necklace/,found,200,https://buddy.farm/i/amethyst-necklace/,Amethyst Necklace,1,,
Anchor,anchor,anchor,https://buddy.farm/i/anchor/,found,200,https://buddy.farm/i/anchor/,Anchor,1,,
Ancient Coin,ancient coin,ancient-coin,https://buddy.farm/i/ancient-coin/,found,200,https://buddy.farm/i/ancient-coin/,Ancient Coin,1,,
Ancient Stone Cicada,ancient stone cicada,ancient-stone-cicada,https://buddy.farm/i/ancient-stone-cicada/,found,200,https://buddy.farm/i/ancient-stone-cicada/,Ancient Stone Cicada,1,,
Ancient Treasure Belt,ancient treasure belt,ancient-treasure-belt,https://buddy.farm/i/ancient-treasure-belt/,found,200,https://buddy.farm/i/ancient-treasure-belt/,Ancient Treasure Belt,1,,
Anglerfish,anglerfish,anglerfish,https://buddy.farm/i/anglerfish/,found,200,https://buddy.farm/i/anglerfish/,Anglerfish,1,,
Ant Apple,ant apple,ant-apple,https://buddy.farm/i/ant-apple/,found,200,https://buddy.farm/i/ant-apple/,Ant Apple,1,,
Antler,antler,antler,https://buddy.farm/i/antler/,found,200,https://buddy.farm/i/antler/,Antler,1,,
Apple,apple,apple,https://buddy.farm/i/apple/,found,200,https://buddy.farm/i/apple/,Apple,1,,
Apple Ant,apple ant,apple-ant,https://buddy.farm/i/apple-ant/,found,200,https://buddy.farm/i/apple-ant/,Apple Ant,1,,
Apple Ant Buddy Doll,apple ant buddy doll,apple-ant-buddy-doll,https://buddy.farm/i/apple-ant-buddy-doll/,found,200,https://buddy.farm/i/apple-ant-buddy-doll/,Apple Ant Buddy Doll,1,,
Apple Basket,apple basket,apple-basket,https://buddy.farm/i/apple-basket/,found,200,https://buddy.farm/i/apple-basket/,Apple Basket,1,,
