item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,ambiguous,200,https://buddy.farm/i/10-gold/,,1,missing_title,Page responded successfully but no HTML title was detected.
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,ambiguous,200,https://buddy.farm/i/100-gold/,,1,missing_title,Page responded successfully but no HTML title was detected.
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,ambiguous,200,https://buddy.farm/i/11th-leaf-centerpiece/,,1,missing_title,Page responded successfully but no HTML title was detected.
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,ambiguous,200,https://buddy.farm/i/25-gold/,,1,missing_title,Page responded successfully but no HTML title was detected.
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,ambiguous,200,https://buddy.farm/i/3-leaf-clover/,,1,symbol_cleanup; missing_title,Punctuation or symbols were cleaned during slug generation.; Page responded successfully but no HTML title was detected.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,ambiguous,200,https://buddy.farm/i/3rd-birthday-card/,,1,missing_title,Page responded successfully but no HTML title was detected.
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,ambiguous,200,https://buddy.farm/i/4-leaf-clover/,,1,symbol_cleanup; missing_title,Punctuation or symbols were cleaned during slug generation.; Page responded successfully but no HTML title was detected.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,ambiguous,200,https://buddy.farm/i/4th-birthday-card/,,1,missing_title,Page responded successfully but no HTML title was detected.
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,ambiguous,200,https://buddy.farm/i/5-gold/,,1,missing_title,Page responded successfully but no HTML title was detected.
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,ambiguous,200,https://buddy.farm/i/50-gold/,,1,missing_title,Page responded successfully but no HTML title was detected.
