item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,probe_status,http_status,final_url,page_title,attempts,flags,notes
10 Gold,10 gold,10-gold,https://buddy.farm/i/10-gold/,found,200,https://buddy.farm/i/10-gold/,10 Gold,1,,
100 Gold,100 gold,100-gold,https://buddy.farm/i/100-gold/,found,200,https://buddy.farm/i/100-gold/,100 Gold,1,,
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,found,200,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,1,,
25 Gold,25 gold,25-gold,https://buddy.farm/i/25-gold/,found,200,https://buddy.farm/i/25-gold/,25 Gold,1,,
3-leaf Clover,3-leaf clover,3-leaf-clover,https://buddy.farm/i/3-leaf-clover/,found,200,https://buddy.farm/i/3-leaf-clover/,3-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
3rd Birthday Card,3rd birthday card,3rd-birthday-card,https://buddy.farm/i/3rd-birthday-card/,found,200,https://buddy.farm/i/3rd-birthday-card/,3rd Birthday Card,1,,
4-leaf Clover,4-leaf clover,4-leaf-clover,https://buddy.farm/i/4-leaf-clover/,found,200,https://buddy.farm/i/4-leaf-clover/,4-leaf Clover,1,symbol_cleanup,Punctuation or symbols were cleaned during slug generation.
4th Birthday Card,4th birthday card,4th-birthday-card,https://buddy.farm/i/4th-birthday-card/,found,200,https://buddy.farm/i/4th-birthday-card/,4th Birthday Card,1,,
5 Gold,5 gold,5-gold,https://buddy.farm/i/5-gold/,found,200,https://buddy.farm/i/5-gold/,5 Gold,1,,
50 Gold,50 gold,50-gold,https://buddy.farm/i/50-gold/,found,200,https://buddy.farm/i/50-gold/,50 Gold,1,,
