"questline_key","questline_name","buddy_url","total_request_silver","candidate_reason","parse_status"
"1,000,000 farmers","1,000,000 Farmers","https://buddy.farm/ql/1-000-000-farmers/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"750,000 farmers","750,000 Farmers","https://buddy.farm/ql/750-000-farmers/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"a fool and their money","A Fool And Their Money","https://buddy.farm/ql/a-fool-and-their-money/","5000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"bad dirt","Bad Dirt","https://buddy.farm/ql/bad-dirt/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"book of dewstar mastery","Book of Dewstar Mastery","https://buddy.farm/ql/book-of-dewstar-mastery/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"eggstremely valuable","Eggstremely Valuable","https://buddy.farm/ql/eggstremely-valuable/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"flexible spending","Flexible Spending","https://buddy.farm/ql/flexible-spending/","5000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"friends with charles","Friends With Charles","https://buddy.farm/ql/friends-with-charles/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"daily dairy","Daily Dairy","https://buddy.farm/ql/daily-dairy/","5000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"half a million","Half a Million","https://buddy.farm/ql/half-a-million/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"pirates start arriving","Pirates Start Arriving","https://buddy.farm/ql/pirates-start-arriving/","1000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"problems start arising","Problems Start Arising","https://buddy.farm/ql/problems-start-arising/","5000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"problems still abound","Problems Still Abound","https://buddy.farm/ql/problems-still-abound/","3000000000000","total_request_silver_at_least_1_trillion","parsed_silver_total"
"quarter million","Quarter Million","https://buddy.farm/ql/quarter-million/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"rumor has it","Rumor Has It","https://buddy.farm/ql/rumor-has-it/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"stickiness of friendship","Stickiness of Friendship","https://buddy.farm/ql/stickiness-of-friendship/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"sweet days of summer","Sweet Days of Summer","https://buddy.farm/ql/sweet-days-of-summer/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
"uptime dreamin","Uptime Dreamin","https://buddy.farm/ql/uptime-dreamin/","","ambiguous_total_request_parse","ambiguous_missing_total_request"
