"questline_key","questline_name","quest_count_from_item_cache","buddy_url","http_status","fetch_timestamp_utc","wait_seconds","total_request_silver","parse_status","raw_body","raw_headers","sha256"
"1,000,000 farmers","1,000,000 Farmers","9","https://buddy.farm/ql/1-000-000-farmers/","200","2026-08-27T19:31:03.2097569Z","6","","ambiguous_missing_total_request","raw/questlines/1-000-000-farmers.html","raw/questlines/1-000-000-farmers-headers.txt","03D7CE54E602BB836C10DEF9722659E07E2FBDA7A5D81BF82F77B752C96A8CFF"
"10,000 players!","10,000 Players!","1","https://buddy.farm/ql/10-000-players/","404","2026-08-27T19:31:09.7756560Z","6","","not_found","raw/questlines/10-000-players.html","raw/questlines/10-000-players-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"100,000","100,000","1","https://buddy.farm/ql/100-000/","404","2026-08-27T19:31:16.3370896Z","7","","not_found","raw/questlines/100-000.html","raw/questlines/100-000-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"12 days of christmas","12 Days of Christmas","12","https://buddy.farm/ql/12-days-of-christmas/","200","2026-08-27T19:31:23.5856853Z","8","","parsed_no_silver_total","raw/questlines/12-days-of-christmas.html","raw/questlines/12-days-of-christmas-headers.txt","64643AA83B36238D7B424B53679E41B31DF756B47181A22D8107DC0F22F2911C"
"12 days of sweet treats","12 Days of Sweet Treats","12","https://buddy.farm/ql/12-days-of-sweet-treats/","200","2026-08-27T19:31:32.0541851Z","7","","parsed_no_silver_total","raw/questlines/12-days-of-sweet-treats.html","raw/questlines/12-days-of-sweet-treats-headers.txt","66695E61DA0165D86195736E1E6465518F7B770AC5725A5917B2FA286FE515FF"
"20,000 players!","20,000 Players!","1","https://buddy.farm/ql/20-000-players/","404","2026-08-27T19:32:12.4073903Z","10","","not_found","raw/questlines/20-000-players.html","raw/questlines/20-000-players-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"200 patrons!","200 Patrons!","1","https://buddy.farm/ql/200-patrons/","404","2026-08-27T19:32:23.0808238Z","8","","not_found","raw/questlines/200-patrons.html","raw/questlines/200-patrons-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"200,000","200,000","3","https://buddy.farm/ql/200-000/","200","2026-08-27T19:32:31.3568394Z","6","","parsed_no_silver_total","raw/questlines/200-000.html","raw/questlines/200-000-headers.txt","9D2C1627E108AE6BF2766748E3CB129DE5AA51EEF74443D4FD1A71CDBE776641"
"25,000","25,000","1","https://buddy.farm/ql/25-000/","404","2026-08-27T19:32:37.8898399Z","6","","not_found","raw/questlines/25-000.html","raw/questlines/25-000-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"5 times even tastier","5 Times Even Tastier","5","https://buddy.farm/ql/5-times-even-tastier/","200","2026-08-27T19:32:44.1718701Z","7","","parsed_no_silver_total","raw/questlines/5-times-even-tastier.html","raw/questlines/5-times-even-tastier-headers.txt","3F5DA10DD3486C8B5F913AA31D6DF4E5FFECAD4954194A55BA298E4F35FA583B"
"5 times tastier","5 Times Tastier","5","https://buddy.farm/ql/5-times-tastier/","200","2026-08-27T19:32:51.5492027Z","8","","parsed_no_silver_total","raw/questlines/5-times-tastier.html","raw/questlines/5-times-tastier-headers.txt","E06D2C14B2FD5BB31E413F8095A321797552B26D0C1A7CE3A2A1F09C7A52DC27"
"50,000 players!","50,000 Players!","1","https://buddy.farm/ql/50-000-players/","404","2026-08-27T19:33:00.0471164Z","8","","not_found","raw/questlines/50-000-players.html","raw/questlines/50-000-players-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"60,000","60,000","1","https://buddy.farm/ql/60-000/","404","2026-08-27T19:33:08.2997967Z","6","","not_found","raw/questlines/60-000.html","raw/questlines/60-000-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"75,000","75,000","1","https://buddy.farm/ql/75-000/","404","2026-08-27T19:33:14.5921758Z","7","","not_found","raw/questlines/75-000.html","raw/questlines/75-000-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"750,000 farmers","750,000 Farmers","8","https://buddy.farm/ql/750-000-farmers/","200","2026-08-27T19:33:22.1240231Z","10","","ambiguous_missing_total_request","raw/questlines/750-000-farmers.html","raw/questlines/750-000-farmers-headers.txt","50972F42B18C5FB5E16B32F4DCBA053CC269D06D1200230B6BD4428C9AF7D7F5"
"99 bottles","99 Bottles","99","https://buddy.farm/ql/99-bottles/","200","2026-08-27T19:33:32.6254306Z","8","","parsed_no_silver_total","raw/questlines/99-bottles.html","raw/questlines/99-bottles-headers.txt","166AD29AC92B9EA9AE51068E82C1903E4E2E257591AD5AAA65A853233861618E"
"a bear skin rug","A Bear Skin Rug","1","https://buddy.farm/ql/a-bear-skin-rug/","404","2026-08-27T19:33:41.0199550Z","10","","not_found","raw/questlines/a-bear-skin-rug.html","raw/questlines/a-bear-skin-rug-headers.txt","4C0DCA3858E7A3EC4BAD0F8230A8004041E0F98D911D145BAEF43B999A7924E6"
"a better understanding","A Better Understanding","2","https://buddy.farm/ql/a-better-understanding/","200","2026-08-27T19:33:51.2892775Z","6","","parsed_no_silver_total","raw/questlines/a-better-understanding.html","raw/questlines/a-better-understanding-headers.txt","BF1429D7A13876A6D587C46AB1BE878713BC048E7AE386042DBC00241BAA51E0"
