"questline_key","questline_name","quest_name_slug","buddy_url"
"sprung forth","Sprung Forth","sprung-forth-i","https://buddy.farm/q/sprung-forth-i/"
"sprung forth","Sprung Forth","sprung-forth-ii","https://buddy.farm/q/sprung-forth-ii/"
"sprung forth","Sprung Forth","sprung-forth-iii","https://buddy.farm/q/sprung-forth-iii/"
"sprung forth","Sprung Forth","sprung-forth-iv","https://buddy.farm/q/sprung-forth-iv/"
"sprung forth","Sprung Forth","sprung-forth-v","https://buddy.farm/q/sprung-forth-v/"
"daily dairy","Daily Dairy","daily-dairy-i","https://buddy.farm/q/daily-dairy-i/"
"daily dairy","Daily Dairy","daily-dairy-ii","https://buddy.farm/q/daily-dairy-ii/"
"daily dairy","Daily Dairy","daily-dairy-iii","https://buddy.farm/q/daily-dairy-iii/"
"daily dairy","Daily Dairy","daily-dairy-iv","https://buddy.farm/q/daily-dairy-iv/"
"daily dairy","Daily Dairy","daily-dairy-v","https://buddy.farm/q/daily-dairy-v/"
"daily dairy","Daily Dairy","daily-dairy-vi","https://buddy.farm/q/daily-dairy-vi/"
"daily dairy","Daily Dairy","daily-dairy-vii","https://buddy.farm/q/daily-dairy-vii/"
