item_name,canonical_key,buddy_url,notes
Unpolished Aquacite,unpolished aquacite,https://buddy.farm/i/unpolished-aquacite/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Broccoli Seeds,broccoli seeds,https://buddy.farm/i/broccoli-seeds/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Goldray,goldray,https://buddy.farm/i/goldray/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Sunflower Seeds,sunflower seeds,https://buddy.farm/i/sunflower-seeds/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Glass Jar,glass jar,https://buddy.farm/i/glass-jar/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Eggs,eggs,https://buddy.farm/i/eggs/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Dragon Skull,dragon skull,https://buddy.farm/i/dragon-skull/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Fish Biscuit,fish biscuit,https://buddy.farm/i/fish-biscuit/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Leather Waterskin,leather waterskin,https://buddy.farm/i/leather-waterskin/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Groundhog Buddy Doll,groundhog buddy doll,https://buddy.farm/i/groundhog-buddy-doll/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Garden Claw,garden claw,https://buddy.farm/i/garden-claw/,BL-248 current museum universe new item; cache Buddy page evidence when available.
Ghost Jelly,ghost jelly,https://buddy.farm/i/ghost-jelly/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
White Dye,white dye,https://buddy.farm/i/white-dye/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Moonstone,moonstone,https://buddy.farm/i/moonstone/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Crunchy Omelette,crunchy omelette,https://buddy.farm/i/crunchy-omelette/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Certificate of Pine Giving,certificate of pine giving,https://buddy.farm/i/certificate-of-pine-giving/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Swordfish,swordfish,https://buddy.farm/i/swordfish/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Concord Grape Pie,concord grape pie,https://buddy.farm/i/concord-grape-pie/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Vixen,vixen,https://buddy.farm/i/vixen/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Amber,amber,https://buddy.farm/i/amber/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Present 02,present 02,https://buddy.farm/i/present-02/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Party Horn,party horn,https://buddy.farm/i/party-horn/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Flame Orb,flame orb,https://buddy.farm/i/flame-orb/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Teddy Bear,teddy bear,https://buddy.farm/i/teddy-bear/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Thomas Bobblehead,thomas bobblehead,https://buddy.farm/i/thomas-bobblehead/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Peculiar Gem,peculiar gem,https://buddy.farm/i/peculiar-gem/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Shark Tooth,shark tooth,https://buddy.farm/i/shark-tooth/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Mystical Chest 01,mystical chest 01,https://buddy.farm/i/mystical-chest-01/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Book of Maps,book of maps,https://buddy.farm/i/book-of-maps/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Egg 03,egg 03,https://buddy.farm/i/egg-03/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Large Chest 01,large chest 01,https://buddy.farm/i/large-chest-01/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Borgen Buck,borgen buck,https://buddy.farm/i/borgen-buck/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Apple Belt,apple belt,https://buddy.farm/i/apple-belt/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Gold Laurel,gold laurel,https://buddy.farm/i/gold-laurel/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Fossilized Print,fossilized print,https://buddy.farm/i/fossilized-print/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Buddy's Sleeping Cap,buddy's sleeping cap,https://buddy.farm/i/buddy-s-sleeping-cap/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Blue Feathers,blue feathers,https://buddy.farm/i/blue-feathers/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Rune Dice,rune dice,https://buddy.farm/i/rune-dice/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Veggie Juice,veggie juice,https://buddy.farm/i/veggie-juice/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Watermelon Seeds,watermelon seeds,https://buddy.farm/i/watermelon-seeds/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Fancy Table,fancy table,https://buddy.farm/i/fancy-table/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Reaver Claw,reaver claw,https://buddy.farm/i/reaver-claw/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Egg of Air,egg of air,https://buddy.farm/i/egg-of-air/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Dino Buddy Doll,dino buddy doll,https://buddy.farm/i/dino-buddy-doll/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
YoYo,yoyo,https://buddy.farm/i/yoyo/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Shinefish,shinefish,https://buddy.farm/i/shinefish/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Gold Boot,gold boot,https://buddy.farm/i/gold-boot/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Bunny Ears,bunny ears,https://buddy.farm/i/bunny-ears/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Snow Shoes,snow shoes,https://buddy.farm/i/snow-shoes/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Egg Basket,egg basket,https://buddy.farm/i/egg-basket/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Spooky Pie,spooky pie,https://buddy.farm/i/spooky-pie/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Gold Apple,gold apple,https://buddy.farm/i/gold-apple/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Eggplant,eggplant,https://buddy.farm/i/eggplant/,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
