item_index,item_name,canonical_key,source_status,previous_museum_category,previous_category_key,previous_slot_index,obtainable,review_status,generated_buddy_slug,buddy_url,source_label,notes
1,Unpolished Aquacite,unpolished aquacite,existing_museum_completion_canon,Items,items,876,Y,source_parsed,unpolished-aquacite,https://buddy.farm/i/unpolished-aquacite/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
2,Broccoli Seeds,broccoli seeds,existing_museum_completion_canon,Seeds,seeds,2,Y,source_parsed,broccoli-seeds,https://buddy.farm/i/broccoli-seeds/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
3,Goldray,goldray,existing_museum_completion_canon,Fish,fish,47,Y,source_parsed,goldray,https://buddy.farm/i/goldray/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
4,Sunflower Seeds,sunflower seeds,existing_museum_completion_canon,Seeds,seeds,30,Y,source_parsed,sunflower-seeds,https://buddy.farm/i/sunflower-seeds/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
5,Glass Jar,glass jar,existing_museum_completion_canon,Items,items,371,Y,source_parsed,glass-jar,https://buddy.farm/i/glass-jar/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
6,Eggs,eggs,existing_museum_completion_canon,Items,items,279,Y,source_parsed,eggs,https://buddy.farm/i/eggs/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
7,Dragon Skull,dragon skull,existing_museum_completion_canon,Items,items,271,Y,source_parsed,dragon-skull,https://buddy.farm/i/dragon-skull/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
8,Fish Biscuit,fish biscuit,existing_museum_completion_canon,Items,items,318,Y,source_parsed,fish-biscuit,https://buddy.farm/i/fish-biscuit/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
9,Leather Waterskin,leather waterskin,existing_museum_completion_canon,Items,items,486,Y,source_parsed,leather-waterskin,https://buddy.farm/i/leather-waterskin/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
10,Groundhog Buddy Doll,groundhog buddy doll,existing_museum_completion_canon,Items,items,417,Y,source_parsed,groundhog-buddy-doll,https://buddy.farm/i/groundhog-buddy-doll/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
11,Garden Claw,garden claw,new_in_current_museum_export,,,,,reviewed_name_from_current_export,garden-claw,https://buddy.farm/i/garden-claw/,2026-06-04 museum Library Everything export,"New in current museum export; review sources, icons, recipes, and aliases before canonical promotion."
12,Ghost Jelly,ghost jelly,existing_museum_completion_canon,Items,items,363,Y,source_parsed,ghost-jelly,https://buddy.farm/i/ghost-jelly/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
13,White Dye,white dye,existing_museum_completion_canon,Items,items,904,Y,source_parsed,white-dye,https://buddy.farm/i/white-dye/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
14,Moonstone,moonstone,existing_museum_completion_canon,Items,items,539,Y,source_parsed,moonstone,https://buddy.farm/i/moonstone/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
15,Crunchy Omelette,crunchy omelette,existing_museum_completion_canon,Event,event,61,Y,source_parsed,crunchy-omelette,https://buddy.farm/i/crunchy-omelette/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
16,Certificate of Pine Giving,certificate of pine giving,existing_museum_completion_canon,Items,items,203,Y,source_parsed,certificate-of-pine-giving,https://buddy.farm/i/certificate-of-pine-giving/,2026-06-04 museum Library Everything export,Previously present in museum_completion_canon.csv; included for full current-universe Buddy evidence refresh.
