item_name,canonical_key,buddy_url,review_status,notes
Garden Claw,garden claw,https://buddy.farm/i/garden-claw/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Blue Diamond Fish,blue diamond fish,https://buddy.farm/i/blue-diamond-fish/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Eggypalchi,eggypalchi,https://buddy.farm/i/eggypalchi/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Planet Egg,planet egg,https://buddy.farm/i/planet-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Alien Fuzzy Chick,alien fuzzy chick,https://buddy.farm/i/alien-fuzzy-chick/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Crowbar,crowbar,https://buddy.farm/i/crowbar/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Red Velvet Cake,red velvet cake,https://buddy.farm/i/red-velvet-cake/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
5th Birthday Card,5th birthday card,https://buddy.farm/i/5th-birthday-card/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 02,farmiversary trophy 02,https://buddy.farm/i/farmiversary-trophy-02/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 05,farmiversary trophy 05,https://buddy.farm/i/farmiversary-trophy-05/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Lucky Potato,lucky potato,https://buddy.farm/i/lucky-potato/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Lucky Corn,lucky corn,https://buddy.farm/i/lucky-corn/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Comet Egg,comet egg,https://buddy.farm/i/comet-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Harvest Bundle 01,harvest bundle 01,https://buddy.farm/i/harvest-bundle-01/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Egg Buddy Doll,egg buddy doll,https://buddy.farm/i/egg-buddy-doll/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Asteroid Egg,asteroid egg,https://buddy.farm/i/asteroid-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Nebula Egg,nebula egg,https://buddy.farm/i/nebula-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Garden Crate 01,garden crate 01,https://buddy.farm/i/garden-crate-01/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Gloorp,gloorp,https://buddy.farm/i/gloorp/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 03,farmiversary trophy 03,https://buddy.farm/i/farmiversary-trophy-03/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Lucky Eggs,lucky eggs,https://buddy.farm/i/lucky-eggs/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Black Hole Egg,black hole egg,https://buddy.farm/i/black-hole-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Lucky Bacon,lucky bacon,https://buddy.farm/i/lucky-bacon/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Fuzzy Trout,fuzzy trout,https://buddy.farm/i/fuzzy-trout/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Lucky Trout,lucky trout,https://buddy.farm/i/lucky-trout/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Astro Fuzzy Chick,astro fuzzy chick,https://buddy.farm/i/astro-fuzzy-chick/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Cake,cake,https://buddy.farm/i/cake/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Moon Egg,moon egg,https://buddy.farm/i/moon-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Slimed Buddy Doll,slimed buddy doll,https://buddy.farm/i/slimed-buddy-doll/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Valve,valve,https://buddy.farm/i/valve/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Camping Buddy Doll,camping buddy doll,https://buddy.farm/i/camping-buddy-doll/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Sun Egg,sun egg,https://buddy.farm/i/sun-egg/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 04,farmiversary trophy 04,https://buddy.farm/i/farmiversary-trophy-04/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Traveler's Bag 01,traveler s bag 01,https://buddy.farm/i/traveler-s-bag-01/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Thomas's Red Velvet Cake,thomas s red velvet cake,https://buddy.farm/i/thomas-s-red-velvet-cake/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Day Off Voucher,day off voucher,https://buddy.farm/i/day-off-voucher/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Coconut Water,coconut water,https://buddy.farm/i/coconut-water/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Buddy Box,buddy box,https://buddy.farm/i/buddy-box/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Fuzzy Trophy,fuzzy trophy,https://buddy.farm/i/fuzzy-trophy/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 01,farmiversary trophy 01,https://buddy.farm/i/farmiversary-trophy-01/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Garden Trowel,garden trowel,https://buddy.farm/i/garden-trowel/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Farmiversary Trophy 06,farmiversary trophy 06,https://buddy.farm/i/farmiversary-trophy-06/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Birthday Surprise Box 05,birthday surprise box 05,https://buddy.farm/i/birthday-surprise-box-05/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Galactic Egg Basket,galactic egg basket,https://buddy.farm/i/galactic-egg-basket/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
Fish Flakes,fish flakes,https://buddy.farm/i/fish-flakes/,review_needed,"Confirm Buddy page, icon availability, source rows, recipe rows, and whether this belongs in any canonical data table."
