openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_min,quantity_max,quantity_kind,evidence,notes,source_url,page_data_url,cache_file_name,parser_version
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Moonbreaker,moonbreaker,30,30,30,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Bomb,bomb,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Supply Voucher,supply voucher,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Fireworks,fireworks,150,150,150,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Blue Star Stomper,blue star stomper,50,50,50,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Drink Bundle,drink bundle,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Prune Juice,prune juice,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Hornworm,hornworm,7,7,7,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Safety Headgear,safety headgear,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Green Torpedo,green torpedo,20,20,20,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Event Token Purse,event token purse,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Red Rocket,red rocket,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 03,beatrix s booming brawl box 03,Tackle Box,tackle box,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-03/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json,beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json,buddy-item-multi-source-v1
