openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_min,quantity_max,quantity_kind,evidence,notes,source_url,page_data_url,cache_file_name,parser_version
Lorn's Expedition Kit,lorn s expedition kit,Gold Feather,gold feather,250,250,250,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Travel Voucher,travel voucher,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Hickory Omelette,hickory omelette,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Onyx Scorpion,onyx scorpion,20,20,20,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Apple Cider,apple cider,250,250,250,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Protein Bar,protein bar,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Mug of Beer,mug of beer,100,100,100,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Cranberry Juice,cranberry juice,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Glyph Sphere,glyph sphere,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Temple Voucher,temple voucher,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
Lorn's Expedition Kit,lorn s expedition kit,Tackle Box,tackle box,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/lorn-s-expedition-kit/,https://buddy.farm/page-data/i/lorn-s-expedition-kit/page-data.json,lorn-s-expedition-kit__lorn-s-expedition-kit.json,buddy-item-multi-source-v1
