item_name,canonical_key,buddy_url,page_data_url,cache_file_name,http_status,source_status,recipes,used_in_recipes,drop_rates,pet_sources,openable_contents,openable_sources,wishing_well_outputs,wishing_well_inputs,quest_rows,unknown_detected_sections,flags,warnings
Cid's Spare Pickaxe,cid s spare pickaxe,https://buddy.farm/i/cid-s-spare-pickaxe/,https://buddy.farm/page-data/i/cid-s-spare-pickaxe/page-data.json,cid-s-spare-pickaxe__cid-s-spare-pickaxe.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Cid's Spare Pickaxe,cid s spare pickaxe,https://buddy.farm/i/cids-spare-pickaxe/,https://buddy.farm/page-data/i/cids-spare-pickaxe/page-data.json,cid-s-spare-pickaxe__cids-spare-pickaxe.json,404,uncertain,0,0,0,0,0,0,0,0,0,,terminal_or_non_success_evidence; missing_item_payload,Evidence HTTP status is 404; source facts were not parsed.; No FarmRPG item payload was found in the cached Buddy page data.
Heavy Pickaxe,heavy pickaxe,https://buddy.farm/i/heavy-pickaxe/,https://buddy.farm/page-data/i/heavy-pickaxe/page-data.json,heavy-pickaxe__heavy-pickaxe.json,200,sources_blank,0,0,0,0,0,1,0,0,0,,,
Mega Pine Seeds,mega pine seeds,https://buddy.farm/i/mega-pine-seeds/,https://buddy.farm/page-data/i/mega-pine-seeds/page-data.json,mega-pine-seeds__mega-pine-seeds.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Mining Bag 01,mining bag 01,https://buddy.farm/i/mining-bag-01/,https://buddy.farm/page-data/i/mining-bag-01/page-data.json,mining-bag-01__mining-bag-01.json,200,sources_blank,0,0,0,0,2,0,0,0,0,,,
Mining Bag 02,mining bag 02,https://buddy.farm/i/mining-bag-02/,https://buddy.farm/page-data/i/mining-bag-02/page-data.json,mining-bag-02__mining-bag-02.json,200,sources_blank,0,0,0,0,3,0,0,0,0,,,
Mining Bag 03,mining bag 03,https://buddy.farm/i/mining-bag-03/,https://buddy.farm/page-data/i/mining-bag-03/page-data.json,mining-bag-03__mining-bag-03.json,200,sources_blank,0,0,0,0,3,0,0,0,0,,,
Mining Bag 04,mining bag 04,https://buddy.farm/i/mining-bag-04/,https://buddy.farm/page-data/i/mining-bag-04/page-data.json,mining-bag-04__mining-bag-04.json,200,sources_blank,0,0,0,0,3,0,0,0,0,,,
Mining Bag 05,mining bag 05,https://buddy.farm/i/mining-bag-05/,https://buddy.farm/page-data/i/mining-bag-05/page-data.json,mining-bag-05__mining-bag-05.json,200,sources_blank,0,0,0,0,3,0,0,0,0,,,
Wooden Footstool,wooden footstool,https://buddy.farm/i/wooden-footstool/,https://buddy.farm/page-data/i/wooden-footstool/page-data.json,wooden-footstool__wooden-footstool.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
