openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_min,quantity_max,quantity_kind,evidence,notes,source_url,page_data_url,cache_file_name,parser_version
Mining Bag 01,mining bag 01,Pickaxe,pickaxe,,1,10,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-01/,https://buddy.farm/page-data/i/mining-bag-01/page-data.json,mining-bag-01__mining-bag-01.json,buddy-item-multi-source-v1
Mining Bag 01,mining bag 01,Bone Pickaxe,bone pickaxe,,1,10,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-01/,https://buddy.farm/page-data/i/mining-bag-01/page-data.json,mining-bag-01__mining-bag-01.json,buddy-item-multi-source-v1
Mining Bag 02,mining bag 02,Bone Pickaxe,bone pickaxe,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-02/,https://buddy.farm/page-data/i/mining-bag-02/page-data.json,mining-bag-02__mining-bag-02.json,buddy-item-multi-source-v1
Mining Bag 02,mining bag 02,Explosive,explosive,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-02/,https://buddy.farm/page-data/i/mining-bag-02/page-data.json,mining-bag-02__mining-bag-02.json,buddy-item-multi-source-v1
Mining Bag 02,mining bag 02,Crystal Pickaxe,crystal pickaxe,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-02/,https://buddy.farm/page-data/i/mining-bag-02/page-data.json,mining-bag-02__mining-bag-02.json,buddy-item-multi-source-v1
Mining Bag 03,mining bag 03,Explosive,explosive,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-03/,https://buddy.farm/page-data/i/mining-bag-03/page-data.json,mining-bag-03__mining-bag-03.json,buddy-item-multi-source-v1
Mining Bag 03,mining bag 03,Crystal Pickaxe,crystal pickaxe,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-03/,https://buddy.farm/page-data/i/mining-bag-03/page-data.json,mining-bag-03__mining-bag-03.json,buddy-item-multi-source-v1
Mining Bag 03,mining bag 03,Sturdy Pickaxe,sturdy pickaxe,,10,15,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-03/,https://buddy.farm/page-data/i/mining-bag-03/page-data.json,mining-bag-03__mining-bag-03.json,buddy-item-multi-source-v1
Mining Bag 04,mining bag 04,Steel Pickaxe,steel pickaxe,,10,20,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-04/,https://buddy.farm/page-data/i/mining-bag-04/page-data.json,mining-bag-04__mining-bag-04.json,buddy-item-multi-source-v1
Mining Bag 04,mining bag 04,Bomb,bomb,,1,3,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-04/,https://buddy.farm/page-data/i/mining-bag-04/page-data.json,mining-bag-04__mining-bag-04.json,buddy-item-multi-source-v1
Mining Bag 04,mining bag 04,Sturdy Pickaxe,sturdy pickaxe,,10,20,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-04/,https://buddy.farm/page-data/i/mining-bag-04/page-data.json,mining-bag-04__mining-bag-04.json,buddy-item-multi-source-v1
Mining Bag 05,mining bag 05,Bomb,bomb,,1,5,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-05/,https://buddy.farm/page-data/i/mining-bag-05/page-data.json,mining-bag-05__mining-bag-05.json,buddy-item-multi-source-v1
Mining Bag 05,mining bag 05,Steel Pickaxe,steel pickaxe,,10,25,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-05/,https://buddy.farm/page-data/i/mining-bag-05/page-data.json,mining-bag-05__mining-bag-05.json,buddy-item-multi-source-v1
Mining Bag 05,mining bag 05,Heavy Pickaxe,heavy pickaxe,,10,25,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/mining-bag-05/,https://buddy.farm/page-data/i/mining-bag-05/page-data.json,mining-bag-05__mining-bag-05.json,buddy-item-multi-source-v1
